"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,120520,59720,61960,54280,50960,42840,35320,19240,6480,1600,1280
"C",NA,126480,118040,105080,110080,107160,94000,88160,70720,49280,27280,5480
"D",NA,127520,118880,119200,117400,110960,101280,94080,71720,57960,38200,4560
"E",NA,138440,127440,125200,131080,120120,105720,96800,76120,61760,42920,6360
"F",NA,133280,133320,152480,140200,122920,117320,103520,84760,67400,50400,6040
"G",NA,117200,132760,120600,123320,120160,104640,97920,82280,68680,50680,6600
"H",138520,137120,135400,136600,131880,131560,117480,102480,84360,69680,50000,6600
"I",141600,134080,141240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,127240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,127520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,124120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,136000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,125160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,118000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
