"","2","3","4","5","6","7","8","9","10","11","12"
"B",48760,53200,50960,56920,60880,55240,55400,59400,54160,51280,185000
"C",91440,117680,117080,115120,116080,124160,129600,149760,129440,151120,171800
"D",172000,203120,202760,213560,215720,237680,222640,226400,223800,230480,190000
"E",185840,202920,218400,221400,237360,235720,217880,231200,234640,222160,203680
"F",182480,212200,210640,195320,174960,188720,186720,190920,193480,193320,183560
"G",180920,209640,165240,179680,165080,174960,171360,177320,172920,172360,216920
"H",192960,184160,189520,180520,175960,172560,181240,170840,173160,171920,207160
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,164840,194360
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177280
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169840
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162320
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179280
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161320
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182840
