"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",71240,70520,76240,73000,80520,84440,73840,78960,76200,83960,80080,77920,73760,62920,360,280,120,40,40,40,0,40,0,40
"B",74560,20520,24600,27440,29520,28760,30520,31720,30640,33920,34680,83160,91880,76600,520,320,160,80,40,80,0,0,0,40
"C",85320,18120,21360,25200,27040,28800,28720,28360,29960,31960,34120,94200,91920,78160,560,320,160,80,80,40,40,40,40,40
"D",79800,19640,24800,25280,28680,31320,29800,31640,32640,33400,34920,88720,89680,85640,520,320,120,80,80,40,40,40,40,40
"E",84560,21320,25160,28160,31720,35800,33520,36640,37120,36720,40000,93640,84400,80400,560,400,160,80,80,0,80,40,0,40
"F",89720,49040,50840,59240,64440,74200,75480,75640,76600,81120,72040,102960,92680,87240,600,280,280,120,40,40,0,40,40,40
"G",89960,64360,66080,74880,77600,82080,79640,84240,84880,97120,85840,89080,96960,87480,680,440,200,160,80,40,40,40,0,0
"H",79680,70920,74360,92000,95640,93960,94440,99080,98640,96200,98960,95320,98720,91080,880,400,200,120,80,40,40,40,40,40
"I",92600,87600,96520,99360,97240,101480,97640,101960,100160,103480,103920,102640,99840,91120,760,520,160,80,40,80,40,40,40,0
"J",78240,88400,85360,86520,110360,101080,98920,103520,102880,95360,94120,105680,99840,87560,840,440,200,120,80,40,40,40,40,40
"K",83960,89440,96120,95680,107320,99200,105200,104600,103920,104080,104040,111320,101000,83080,720,400,200,200,80,40,80,0,0,40
"L",81400,85480,91960,89880,100760,97320,96200,95360,101720,97360,99200,97240,96480,85080,720,400,200,120,40,40,40,0,40,40
"M",83840,84720,87400,93040,89000,93360,94440,100760,97480,96760,101800,93520,90160,79200,560,240,160,80,80,40,40,0,40,40
"N",76080,81040,84720,86520,85760,93400,90200,88080,97560,89880,83320,87320,82800,78600,640,320,160,40,80,80,40,40,40,40
"O",82760,79840,85960,86720,90080,87440,96800,90960,97440,90360,93920,91600,92920,78760,640,320,120,80,80,80,40,40,0,40
"P",70520,78080,81720,78080,77720,81320,80160,87480,83120,82280,80560,79000,78360,70120,440,200,120,80,40,80,40,0,40,40
