"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",1520,1440,1600,3240,10680,22920,27440,31720,33120,36080,207600,NA
"C",2920,3840,7640,17760,33600,44280,57800,62600,64400,70320,211360,NA
"D",2240,3960,8960,19800,36680,60280,77400,90680,102200,107160,231280,NA
"E",2040,3680,9240,18960,36400,61960,115920,165760,171280,195480,222000,NA
"F",4480,8800,13880,26640,46400,80640,184200,230000,224920,228760,229800,NA
"G",5480,10240,17880,31120,46480,79960,196280,205600,220360,230280,225520,NA
"H",7080,13360,22560,36560,48520,92000,194480,225800,218640,217840,237040,239080
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,236440,213560,218360
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213520,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214600,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218080,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219880,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216000,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195080,NA
