"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",5880,7880,9960,11560,14040,20520,30880,37200,33400,33480,186200,NA
"C",20360,30400,45960,62840,99920,119120,140320,147720,143800,143040,192560,NA
"D",24920,40360,47800,68480,112000,141520,142840,159520,159160,169360,193520,NA
"E",19320,37520,55640,98240,114560,162280,160680,166960,167200,183920,201880,NA
"F",27280,39280,58160,87400,144720,164600,181320,189560,198080,186440,205640,NA
"G",22120,43160,60120,96000,134720,173720,186640,193240,195480,203120,199880,NA
"H",27800,52120,65880,91200,133440,175760,191720,203760,201480,191880,199320,209920
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,197480,200360,207120
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205480,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194760,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197480,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193760,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193800,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208360,NA
