"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",23280,29880,29400,34200,31920,29360,32840,31400,34720,34800,196680,NA
"C",37760,51520,55280,64200,64840,68400,64800,63760,65720,63280,219160,NA
"D",38560,62640,75320,81160,89720,96440,103920,98760,92600,102160,222640,NA
"E",40600,103280,128400,154640,155280,161400,171440,185080,169160,195240,215160,NA
"F",49240,135800,175040,194960,201280,211880,214240,207400,215960,225960,214160,NA
"G",49080,138720,170720,185080,194680,205240,209720,215400,194800,197280,207440,NA
"H",49040,147720,185200,186680,193520,194680,206760,210920,193880,210560,215120,219400
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,209960,204680,216560
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210320,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213240,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211640,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207560,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214560,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203800,NA
