"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",151720,64520,52320,56440,158360,59520,64120,61040,60320,58880,159160,NA
"C",115040,112360,115680,114680,125360,135080,122880,128600,121480,130960,168360,NA
"D",119320,124880,121920,133040,128000,135840,134400,134240,129640,127080,147640,NA
"E",149320,159560,159800,161280,168640,158480,167240,169240,167880,163800,163600,NA
"F",148520,163800,159560,162720,163440,160040,179720,161760,159880,155480,166800,NA
"G",174880,161680,159680,163640,157240,165200,169760,172080,160720,167840,149520,NA
"H",159520,153040,160240,178040,165800,158760,164160,173360,165800,166360,183640,164840
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,153840,152160,169320
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142400,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140800,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137480,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165200,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150160,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138240,NA
