"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,89080,29080,27320,24200,24800,24720,18680,7840,12080,880,680
"C",NA,92800,45200,42320,41400,49120,38040,31520,7000,7480,4320,600
"D",NA,126840,64880,63200,61000,58160,58360,41200,10640,9760,5160,560
"E",NA,81640,54240,46960,44160,42520,34200,27400,5560,3840,2800,640
"F",NA,96160,77080,68760,61920,61400,63400,40280,4480,3160,3040,480
"G",NA,58120,53280,50560,46040,42320,39120,28480,2320,1120,1840,520
"H",79000,82360,75520,61560,45840,44280,46360,31160,2200,920,2600,440
"I",75600,74640,77400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,86640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,79640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,159720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,70520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,112760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,77720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
