"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,78240,29440,29760,28080,27240,25840,28720,27840,21360,1480,800
"C",NA,88880,40240,37080,31920,27320,33080,33600,31360,23400,12560,600
"D",NA,89520,43800,43400,38280,38040,38400,38160,36680,22120,13960,760
"E",NA,75280,53520,50080,44000,41440,45400,42000,41080,23560,15840,720
"F",NA,86640,75080,69880,66880,71000,66160,74160,62000,36240,17360,720
"G",NA,91400,89360,78320,77280,71720,78360,83560,70160,42200,20480,880
"H",93880,94240,91880,86040,82800,82480,87640,88040,75480,46280,20280,1280
"I",86960,97640,88800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,88200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,96000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,86240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,82280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,83000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,80120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
