"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",1200,1040,1000,1280,4600,14920,25560,31920,33920,35760,161160,NA
"C",1920,1560,1840,3760,12520,23120,45640,62440,82160,88000,168120,NA
"D",1520,1800,1680,3840,16840,31160,56840,79400,107040,127200,176560,NA
"E",1600,1880,4080,7360,18480,37800,96800,157120,167000,194880,170320,NA
"F",4040,6600,10640,14920,30040,59720,154280,174240,175680,191160,186000,NA
"G",4240,7360,12960,21560,30920,60960,162520,181120,172600,187000,179080,NA
"H",7440,8040,11480,16560,32400,66640,147120,186400,166920,177720,179240,179520
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,168160,178040,182320
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178640,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169000,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165320,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170520,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164880,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154960,NA
