"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",1360,2000,3600,7320,15720,25080,24920,29880,29600,23960,92240,NA
"C",4320,2360,2920,7080,19960,35440,37600,39800,36720,43040,82920,NA
"D",4160,2040,3160,7240,20960,39360,43600,42960,45040,44480,94960,NA
"E",840,1840,3160,6920,15240,23320,28440,27560,27560,29520,86640,NA
"F",4920,2160,2920,8000,19920,37880,39240,40200,41120,46000,86000,NA
"G",3560,2200,2680,8360,21880,36480,40960,40760,45800,46560,95120,NA
"H",14200,14120,17720,30960,61160,82880,92360,101120,88560,90360,94520,98280
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,98440,92320,96800
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93880,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96520,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97560,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90560,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88160,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89240,NA
