"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161880
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157920
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175160
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154640
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171080
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164080
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,195040,169280
"I",38400,48120,63440,83280,112760,181520,211960,196520,200960,167760,163440
"J",33720,45560,66440,113480,135800,165200,194840,211160,222400,154400,166440
"K",22200,35000,46200,73360,119720,162440,186000,200120,210800,169840,164000
"L",11440,17840,31720,50840,84120,138960,169320,183600,185560,195240,157120
"M",7760,11760,15520,25400,43400,75960,117720,137440,149440,201720,162560
"N",4360,6280,9960,17160,26920,33200,52160,63440,71400,128840,161160
"O",5120,8320,10520,16600,22520,26720,33680,42000,40760,54720,147440
