"","2","3","4","5","6","7","8","9","10","11","12"
"B",8840,10040,15880,24640,34800,44840,49600,48760,56160,57080,288200
"C",24800,34720,32360,43000,39320,57960,64160,74400,89640,106040,262120
"D",38880,39840,51080,62800,84000,110680,156480,168440,181560,192040,268960
"E",36920,45280,47280,65680,95280,120760,161200,181400,190200,220800,291560
"F",43440,52040,63520,75720,107520,148760,193000,212120,231040,262000,281120
"G",42880,48120,61200,81560,93160,153040,208840,204760,222600,251080,255120
"H",49360,62240,80880,83120,102080,144800,187480,189560,214640,243880,237680
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,371560,306320
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247440
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278920
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261040
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267440
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263440
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259120
