"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",7160,7080,7640,8160,8120,19600,27320,29160,27920,31600,82920,NA
"C",4680,5160,5360,5560,8000,20920,43720,43560,35800,42240,83760,NA
"D",4960,4120,5160,5440,9600,21760,43160,43040,39960,44480,92040,NA
"E",3200,3040,2880,4360,7120,26520,59920,60000,45640,55600,77320,NA
"F",2720,2240,2080,2960,7840,35360,76760,81320,69760,81280,83600,NA
"G",1720,1240,1160,2280,6720,25800,59680,67840,62600,72480,68320,NA
"H",1240,1040,1080,1800,8120,25440,63040,68120,62640,70240,70000,65520
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,73840,75880,72560
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67920,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81440,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85360,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78400,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82880,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87360,NA
