"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",760,2960,8960,18680,17600,22280,22080,23640,25680,25920,53320,NA
"C",720,2480,13760,15640,19400,23200,26880,28160,30600,34800,68280,NA
"D",760,2920,8720,16040,20200,26320,29960,30760,27680,30360,66600,NA
"E",520,2800,9160,14280,19480,21640,20000,24320,25720,28160,75040,NA
"F",680,2240,9240,16720,21440,24760,30280,27960,31040,36960,82840,NA
"G",600,2560,9160,15280,24440,27560,32160,29880,34720,38080,73680,NA
"H",560,2360,14000,20680,37560,51680,66920,69240,78240,84680,79800,78200
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,88960,83040,94920
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84320,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84160,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65680,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73240,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69640,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75320,NA
