"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183440,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183080,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182000,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182320,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190440,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179200,NA
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,183040,176040,184080
"I",165120,171360,176120,176920,181080,173120,179440,190840,184600,184480,180000,187680
"J",167600,175440,176920,179200,175280,180440,179320,189440,185440,185640,185720,NA
"K",157480,157000,160520,170400,173120,172440,172680,174200,179880,177480,174080,NA
"L",168920,164000,174120,169560,166720,174960,167760,175560,182720,185120,174880,NA
"M",1640,2240,75200,132480,146200,165360,168800,174800,169640,172280,172320,NA
"N",1320,1600,74720,127760,139200,148000,149880,157280,155720,152120,185960,NA
"O",1280,1600,57400,4440,4400,4640,4880,5320,4800,5160,166480,NA
