"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",16280,15960,15960,14840,19480,26000,26120,25560,25720,25640,149840,NA
"C",23120,21640,22400,20640,27080,40360,51000,45000,51320,51640,162600,NA
"D",21200,18840,20920,18440,25520,54040,71080,75880,79520,76960,161200,NA
"E",15360,17920,16120,17440,17720,23920,26480,26440,25280,27320,160800,NA
"F",24160,23160,20720,22360,24760,40880,51080,54520,53480,53920,157840,NA
"G",21800,21160,19480,19360,28640,55920,73480,75960,72400,79120,159120,NA
"H",17880,15080,15280,14880,36720,118960,147240,153960,150160,152840,159520,163400
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,161760,160320,159360
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154520,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150200,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150320,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152240,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160080,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161720,NA
