"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",58560,57120,61520,63640,62680,65080,62840,64280,66000,65480,63040,60440,61720,55880,560,240,80,40,40,40,40,0,40,0
"B",60760,1320,3040,7800,12040,17560,24440,28360,30440,29480,30200,70160,73520,63320,560,280,80,40,40,0,40,80,40,0
"C",61920,800,1640,5720,8440,20040,22800,27720,28840,28760,29960,71400,64120,65920,760,280,160,80,80,40,40,40,40,0
"D",65600,680,1760,5080,9560,20240,26640,28800,30360,34560,29840,75280,69400,70600,640,240,160,80,40,40,0,0,40,0
"E",67800,600,2040,6000,9560,20440,31720,36200,36960,40840,38480,78760,69600,63240,680,360,200,120,80,40,0,0,40,40
"F",69720,840,2760,10160,15960,44200,64520,70560,63120,62200,71160,81760,76280,75000,800,320,160,80,40,40,40,40,0,0
"G",71240,800,2280,11840,20800,53680,74800,75720,76800,75840,75600,85280,75080,69440,800,360,160,120,80,40,40,40,40,40
"H",65000,1000,2680,11960,19520,55960,78840,83760,77360,75000,82240,77160,79280,72040,880,440,200,160,40,40,40,0,40,40
"I",72080,68480,75600,79880,83680,81000,80680,80680,80000,78240,93400,78720,82800,77480,760,360,120,80,80,80,80,80,40,40
"J",67240,67960,74880,76400,78400,80080,79800,78240,78160,80720,79560,81840,78600,75240,640,320,200,80,120,40,40,0,40,0
"K",71400,72760,71120,73160,71520,74480,78760,81840,81320,73760,82440,76080,77440,71760,760,400,200,80,40,40,80,40,40,80
"L",67320,71240,72480,69960,74280,74320,73400,76040,77920,78200,81320,76880,75640,74600,720,440,160,120,120,120,0,40,0,40
"M",63200,65960,64920,72160,68320,69040,71800,71320,72120,75560,71680,71920,66640,67600,640,320,160,120,80,40,0,40,40,40
"N",62080,61960,65840,68520,69000,70840,72440,72280,74120,74800,73880,69360,67680,63880,560,360,120,120,40,40,80,40,40,40
"O",61640,69480,68400,62800,71160,70800,71160,74960,75080,72640,67440,67120,72480,69080,560,280,120,80,40,40,40,40,40,40
"P",59320,58920,62560,63080,65880,68840,67960,67880,64920,65400,65920,69000,62120,56760,520,320,120,80,40,40,0,40,0,40
