"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,164160,165560,73320,61520,55160,57720,67560,58040,52960,59760,64000
"C",NA,168520,157200,160680,146320,148880,158640,149000,141040,138240,140000,134200
"D",NA,173600,149360,173680,167080,162160,158040,164960,144640,142840,145280,143400
"E",NA,188720,183400,199480,184720,174760,186200,183720,173840,164160,172120,171760
"F",NA,189560,193880,189560,188040,174320,194760,190800,173000,187840,161480,173680
"G",NA,163280,175480,173720,164240,157520,164400,171160,151840,147320,151280,154160
"H",188920,183680,180200,204960,182880,188480,183040,197200,172920,162760,169720,160280
"I",179760,172720,171600,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,179360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,167720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,159600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,155880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,162760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,153120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
