"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",1800,5440,16560,26640,32000,31240,37680,36960,35880,36440,238000,NA
"C",1720,7400,24160,42640,62320,67400,65800,73640,73800,77120,228040,NA
"D",1840,8520,28760,59800,95480,112360,118520,127760,125440,131120,237200,NA
"E",1720,9160,27160,109240,157320,178560,182720,183080,175520,191680,216720,NA
"F",1880,11160,36360,178360,230400,216640,219480,231280,244760,222520,221600,NA
"G",2120,10800,34960,153080,206800,212240,211960,211880,220000,214600,227000,NA
"H",2600,9960,31960,139320,223920,218960,219880,222360,221320,219080,217440,234280
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,226920,222120,225120
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221440,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221280,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223800,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233360,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242680,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222120,NA
