"","13","14","15","16","17","18","19","20","21","22","23","24"
"A",137720,139400,143160,147960,142200,147640,143720,144080,129560,135760,130640,137880
"B",26360,34600,33640,33400,26560,31000,28920,28720,22400,28760,133720,130400
"C",96640,104840,88680,95760,79920,76880,80640,73400,65000,60440,132720,137400
"D",103080,104920,106320,135440,100680,100240,94080,96480,83080,79000,135120,134640
"E",124880,131480,127680,127440,119880,120000,117880,111600,102760,102040,133560,135880
"F",127240,129080,136520,127720,134880,121160,122040,120920,106480,106280,131320,135040
"G",137160,134240,136400,137240,127880,130720,131920,126840,112480,110640,134160,136880
"H",127760,129600,138600,128960,120240,127600,131520,121640,113320,105520,131840,134200
"I",131280,127520,135600,129000,127680,101800,127240,119520,112160,110560,134160,135680
"J",128480,128680,132560,128440,121600,125360,122960,122280,108640,106960,130960,133440
"K",126920,124560,132800,124040,119520,121240,128000,118400,108160,106480,130960,135160
"L",122640,122200,124160,124600,113560,118160,110960,112520,94240,94520,125760,128600
"M",102240,101000,103080,111520,94920,96920,96600,98640,79760,83080,129440,133240
"N",89840,102240,95800,95320,87840,88280,84560,82440,67600,68960,127640,132680
"O",31400,38400,34360,34280,29840,35080,33040,30000,27080,29480,124920,127280
"P",152320,148560,158040,150800,146040,140880,146560,140360,145320,134040,135040,169920
