"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222880,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207040,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221720,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219080,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234080,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223040,NA
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,197200,208760,208560
"I",169840,190200,178880,203560,178280,160520,248400,217080,226440,212120,212320,217440
"J",123000,97840,102560,108680,107760,110720,130560,114600,130640,217800,206480,NA
"K",113360,103120,83040,82480,98120,91960,106560,108280,124440,132640,201520,NA
"L",126000,87880,94920,93360,81280,65120,110360,128200,92360,131080,215080,NA
"M",30560,33240,36120,24000,21680,29960,34160,35720,39800,40520,221880,NA
"N",27040,26120,26360,27880,31600,30120,28440,26920,27120,27440,203120,NA
"O",37040,32840,37080,29440,29680,32360,25720,33160,40000,33600,198640,NA
