"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",4160,7880,22520,29360,32840,33280,33080,32080,33360,34160,210200,NA
"C",2400,28200,46880,57240,62040,68440,58120,63280,63600,61120,211440,NA
"D",2640,37040,69360,80760,96560,98840,97280,101960,111880,97200,216960,NA
"E",2240,40280,101680,142000,150040,159360,165600,169440,168000,178160,212280,NA
"F",2400,51120,158200,190040,195800,198600,209200,209480,219240,215960,207320,NA
"G",2560,47440,161440,183000,182760,197600,199880,206880,195120,207400,207040,NA
"H",2720,46560,153280,186840,195320,195400,197560,203480,210600,211400,209880,202080
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,208600,214760,212280
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201080,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192320,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207640,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202240,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207120,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201480,NA
