"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90960,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90680,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82040,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102560,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97960,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101640,NA
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,101760,104840,101760
"I",102200,103000,100320,101960,110920,102960,101480,98000,106960,94720,99600,99800
"J",96000,88680,91760,88440,96880,93440,91360,92760,99920,87440,95000,NA
"K",91120,92080,87120,82840,111520,83840,82160,85680,97840,85200,88600,NA
"L",95760,89960,92520,82400,92240,86600,84680,88680,96520,83320,92120,NA
"M",91280,93720,87200,83840,89600,86760,89800,96240,102760,90560,95600,NA
"N",86720,90360,83880,90080,79320,86480,87360,89680,85240,90760,91160,NA
"O",47280,46240,49640,45920,53000,50720,50480,46320,54160,49600,96640,NA
