"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",929800,847800,966200,903760,1045080,1078480,1126360,1156760,1170000,1127720,1084480,1101600,1246240,1120440,1142000,1230560,1121600,1153520,1186640,1184040,1182840,1108080,1022080,1052640
"B",1183720,1185320,1107720,1140800,1227680,1172800,1152400,1280480,1268840,1200720,1185640,1278920,1290160,1212120,1250440,1218680,1322200,1240480,1211000,1234920,1207400,1151120,1160320,1084680
"C",1147960,2080,2040,1640,1480,2000,1720,2320,2040,2480,2840,1254120,3080,2360,2360,2400,2120,1920,1960,1760,2080,1840,1960,1192200
"D",1194120,3280,1600,1240,1320,1640,2160,2840,10040,24960,37280,1325560,31840,23000,21800,10320,3120,2120,1560,1400,1360,2400,4920,1238640
"E",1199520,270360,252040,26080,12840,63320,319000,786400,926880,1008120,1095760,1309200,1028240,1127680,1008600,862880,639360,268200,51240,29680,56840,241520,394800,1141800
"F",1199240,706040,602880,175200,97400,251520,1001080,1136800,1279120,1184160,1243960,1183480,1269480,1254520,1179480,1233680,1233080,897160,263240,174920,218360,634920,792640,1224280
"G",1020440,811520,874320,341400,255600,462520,1055080,1224320,1199640,1145200,1219320,1185280,1251640,1207120,1204800,1154320,1201720,1058640,504760,316160,366360,844080,841280,1139240
"H",887720,926320,829960,495080,392040,601480,1174640,1253560,1175160,1153080,1166240,1210480,1181040,1228920,1100680,1130200,1168800,1179600,729560,441720,497560,880760,932880,1129400
"I",1122520,939440,882360,575240,536160,751000,1218480,1164080,1138800,1118760,1183000,1158720,1201400,1201760,1231640,1150240,1097880,1187480,729320,546960,557280,961440,866320,1124040
"J",1067680,837600,793880,593200,532360,700480,1102720,1078520,1083480,1103680,1124680,1112960,1166120,1087600,1107280,1059760,1142440,1070800,652640,542840,571480,1013080,853880,1113800
"K",1070400,969560,978560,964160,1016760,1029120,1049480,1036000,1078760,1020520,1060120,1072520,1119800,1072360,1089720,1007480,1026720,1017080,1064240,1019040,966960,953360,1008760,1011160
"L",1019680,747240,721000,464400,479600,626320,970560,1065480,1031800,977120,985640,1031200,1062320,1014120,997640,1020240,1059840,1035080,619960,523400,522080,818480,821040,1080000
"M",976600,894440,913120,958840,948280,945920,990200,986120,946080,924440,990960,1002760,1019160,966840,953320,929120,976720,954240,973560,949240,1002040,939280,977240,984320
"N",960240,837720,879920,8680,45120,750960,971080,966000,915720,931320,913680,999200,944560,932320,959200,902520,921720,918280,893120,891840,891960,843040,855080,1037960
"O",908720,825520,819040,851560,892840,881120,929600,923600,902960,874480,881320,1019400,905240,920400,859960,842840,916520,890360,829960,859320,841520,768480,773800,873200
"P",864160,847960,789360,824400,843840,831360,857560,905640,874440,876880,924400,982280,948960,925760,905680,895400,869000,902320,939480,945760,874360,826520,855880,902360
