"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",822960,868920,986960,999520,1009440,975800,993600,1025800,1027120,1005320,968840,1027280,1067880,977800,988840,983040,977040,975560,943040,916160,883960,947080,908040,830880
"B",885800,974560,1005960,1033560,1068000,1011720,979600,1045160,937120,986320,1057520,1044640,1018440,942480,1053760,1018920,958800,999560,1019600,975720,993760,982440,994880,929040
"C",890240,957240,1027960,780160,800240,936440,1058880,1117040,1088120,1032080,1076960,1009800,1073600,1019800,1065320,1144280,1059000,1096600,957000,643720,763520,1022240,976560,925360
"D",882160,976960,1053680,829440,803720,888920,1134840,1049200,976680,1020320,1023120,1015320,967480,1026120,1075400,1043720,1053000,1148560,925920,846440,773520,984400,1037760,946720
"E",820040,861000,869000,721080,734160,905280,988640,992480,921040,919600,879720,996640,901480,925920,868720,1012280,952360,1054280,822360,646320,825520,899600,1002200,961760
"F",845440,883160,981840,633520,590080,845000,1043480,1022320,899360,920520,913280,997200,924240,934000,904160,970520,999240,1086040,903360,723280,622760,962960,970320,978080
"G",782000,922600,890440,748840,700720,902400,992600,1004920,909040,914960,901840,968040,883960,894600,907000,907160,1034000,1052040,909680,651000,806320,933440,944080,952640
"H",793640,928160,946640,806360,744760,943400,986320,994720,937640,957600,873400,918120,874400,961120,974000,906240,1044680,1019760,911760,795000,771040,939960,960400,926080
"I",760680,864640,859160,673760,716560,846480,963280,887200,786920,733640,857120,850880,849000,834720,820840,865680,954840,943800,768200,585600,669280,841880,870600,880800
"J",795560,841760,838560,629400,688840,822000,909200,857320,841240,818920,826400,810160,868640,875320,828440,805240,906000,953480,774800,623800,671160,782080,841520,868800
"K",781480,819360,838560,860280,803280,874200,873720,844240,789520,852840,838400,865440,845840,807000,840200,795280,886680,886760,851800,860600,797120,827680,831720,817240
"L",747360,824040,867680,676240,641320,813520,914560,872480,824120,849280,811760,821880,800920,793280,832760,849760,886440,933240,813480,624560,660160,839000,883720,842000
"M",754040,780680,797080,763840,756920,801960,866720,821520,841800,835320,776000,813160,847800,807200,816000,802720,821040,862920,818640,725760,731200,862240,750720,744800
"N",736680,778120,753160,758080,755360,758240,843400,784160,832760,779440,760400,821520,789040,799160,842400,798120,880240,821680,816360,799200,778600,780720,819960,774080
"O",728880,743240,728200,751040,712880,757760,762680,790560,812760,765880,800800,789880,783800,844600,795040,817440,834160,812840,814760,795200,757560,756400,823400,715400
"P",677800,690680,682360,718000,688360,707680,754160,778640,763440,724640,779440,705680,753200,761600,789120,782640,796920,779720,751680,779720,770240,704720,723280,689840
