"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",648720,625400,632320,610760,668760,648120,702520,661160,701720,700160,700560,685600,694200,682760,668200,676040,684880,651880,647320,631200,663800,616640,625560,623720
"B",587640,611760,579160,596080,586400,641600,642800,658640,667800,682120,644040,659880,647800,665120,678360,652680,630480,632400,633920,621640,631560,593160,605480,626760
"C",626920,225320,240920,229440,247120,253720,257120,257800,257600,251920,255680,667440,259560,254160,259920,259680,243560,251880,260440,249920,242760,237520,238360,617600
"D",588440,229400,219000,229400,229440,233800,251480,286480,278360,277920,291480,653040,285960,279880,291040,288760,281760,249160,229680,235840,239680,232320,225080,632120
"E",622040,226680,220720,224600,228760,223360,264000,302440,317080,293120,299960,681600,292760,295600,304600,315440,311720,264400,244480,230760,237320,221200,229360,617960
"F",606360,218920,225680,231560,229480,249400,273600,316680,313600,309800,308160,691800,307480,322160,328160,317040,310040,265680,236360,230600,240200,228760,214920,619120
"G",621640,237800,232240,231160,237800,247480,277200,350080,326080,345400,350200,659720,336320,338360,345320,332000,333960,280240,250080,233920,233400,230040,223880,622120
"H",598480,236960,228520,230760,236040,248840,312440,446880,468200,472040,460440,644520,470080,463360,475200,453600,446720,317400,255360,244320,236120,237120,226840,627560
"I",619760,285200,288360,246960,273840,298160,385960,533720,583080,572040,632840,627880,634400,597560,617800,581680,567920,373960,305720,267680,260560,272360,260760,628000
"J",587280,320560,338160,288680,300480,347280,445600,598480,611520,620120,625280,622600,633360,636000,650680,635400,618600,435920,356000,314000,306440,319120,301920,620360
"K",628360,600640,596320,590360,619720,604400,665600,622760,647480,633480,657840,631120,671280,643800,676920,627400,656400,622160,651120,613440,631160,590960,621720,608320
"L",592560,342160,322320,300800,316760,358280,443520,593280,594080,624600,597240,627960,604360,615880,621480,628600,587520,435960,361320,328440,329240,338920,334120,605080
"M",593640,532480,575360,556720,600160,570560,598480,585960,610080,599880,621400,608080,627080,606960,649200,605920,633040,615280,615960,603520,580120,547880,596280,598960
"N",539280,535080,527120,223240,251400,260880,273040,304000,414720,533960,564280,599400,571400,583960,600480,591960,569160,573720,574720,574720,559280,547800,563040,595440
"O",558000,526560,551480,537600,569880,568120,581080,569680,599240,578360,598440,548000,612760,610760,609760,586000,625240,565080,590200,551680,570560,538040,537720,580160
"P",545320,554960,549520,539480,576360,596960,581120,597760,591200,618520,598000,620160,615560,637080,634440,609040,603280,609200,607120,596640,594040,576160,564120,578120
