"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",645200,407080,561480,285200,605200,675040,477080,456560,643440,1045360,663960,801480,904440,1317240,1177400,1336440,1012520,1254840,1217640,1295720,1196760,871000,1314960,1088520
"B",1107360,920880,1003360,513120,613840,889640,717200,529960,1000520,558560,505880,609600,788040,689120,717840,587600,574240,501520,492720,346520,422520,922880,753320,769600
"C",644240,8520,7560,4640,4840,5760,5880,5040,6040,8680,6520,838200,10760,17000,5440,8480,8200,7520,4960,6760,6720,7600,11080,591200
"D",831320,5600,6400,3920,3880,2440,2440,5680,8680,4840,8000,413640,10920,9440,5640,6520,6000,6320,4760,3400,3840,8160,17680,989200
"E",760840,8000,9880,3760,2400,3400,9920,7160,14400,9080,13880,556880,13600,8920,10800,17840,10200,9600,6960,3600,4280,7480,15480,914360
"F",539680,11440,8960,5480,1800,2960,13120,8120,7760,19680,13440,400960,12480,19560,20520,13680,11200,16960,5040,3360,3280,5720,22120,622040
"G",534880,65400,12560,6200,5800,6040,10680,16320,20240,23800,14880,464520,76520,36280,24120,18840,15640,14560,2000,3720,2840,11360,34040,487320
"H",412760,59160,31560,4760,7200,10760,10360,23200,19280,19360,49360,376480,142080,24880,27880,23160,19840,11440,4560,4440,5520,10320,24360,573920
"I",959920,89840,5840,8040,4200,9240,19720,26800,141760,57200,33080,748560,52040,79040,36760,28800,22280,16960,12520,5800,4480,8680,24880,503000
"J",919000,103720,11400,6000,3760,8560,34280,18680,76320,43720,39240,427680,49120,41720,32480,29160,26320,25280,8360,5480,5840,11080,16880,466400
"K",744640,899520,616400,317000,395680,472600,494800,310640,946360,492080,635960,435960,740760,700200,619760,237400,454800,198440,339240,312920,353800,431640,434440,560440
"L",1032600,593040,136720,147160,75560,331720,158640,637840,752960,833400,759680,449040,598200,767880,531920,384880,402320,315120,217120,42200,41960,59800,267240,468720
"M",1033680,1143200,725640,686480,625320,564600,726960,988400,812760,720160,586120,588920,607800,582120,601200,568720,587640,431200,551960,548760,411800,506320,439280,452040
"N",914880,838800,654480,9680,7640,14600,37960,66880,97360,148480,70760,926480,802160,1013120,933040,935280,631840,588640,732200,738200,745040,780200,652120,637520
"O",899080,857680,678880,605040,757160,827000,861840,704880,641400,833080,699840,748280,943200,842240,754600,598120,869680,710080,967440,759560,948080,964640,956640,775320
"P",863800,967240,917760,1010440,975160,1073120,1069120,524480,1142880,624800,1108000,964240,1125200,1133000,1144680,399440,828160,543400,970760,843120,806360,962760,1063080,992600
