"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",778640,756280,782000,770920,845240,838440,826600,827720,812680,801080,948480,894080,827840,789320,807440,774080,849240,808200,809760,743680,850600,779560,785400,791160
"B",716320,721360,708960,740480,758000,779520,776840,800640,764080,792640,868560,867440,783520,783360,750720,786120,767680,796880,749360,763720,761960,752400,703880,708160
"C",762600,410160,428400,446600,520240,514720,554080,532360,538760,525800,521240,808880,517400,520200,550480,521240,516760,513400,511280,476640,491560,438440,439280,784400
"D",700480,446520,403920,423240,476520,517040,539680,553760,540880,539160,537440,825600,508360,529600,532160,515160,501920,498800,514960,488040,433800,435320,462320,786760
"E",746560,574440,542400,429840,482760,524400,583160,574800,616840,578600,585480,817440,585640,593600,562920,572720,590920,558760,532920,449440,432600,500560,578000,754520
"F",700880,660080,593680,452520,434520,488360,556680,576000,568400,576960,605280,824760,584640,615640,589000,592120,573440,572160,519240,441800,448040,592000,620040,743120
"G",748360,632280,630200,573560,534720,533880,650400,621880,718280,685480,707440,879360,689480,676800,666280,628040,623160,592720,571480,524560,559120,627920,633320,720320
"H",702640,622800,551440,519400,540000,622720,691280,753800,753000,802640,767480,820640,810160,810240,748920,784320,736560,701680,628840,557560,539760,559120,576000,723800
"I",742600,597240,562720,553400,550360,641640,791800,789520,863360,823480,877480,806080,859840,859880,854720,822680,821520,747040,679640,585840,528760,565960,602520,730880
"J",679480,551440,522640,496640,524040,616040,704680,745640,758080,773560,783600,778600,810120,810920,806560,806080,766320,746000,606960,531960,497040,520040,563560,731840
"K",737480,716760,728280,727240,778560,768200,801760,769280,792320,791200,817600,782320,787120,782720,813680,783280,824320,803680,795720,751080,779880,734560,714080,705360
"L",673680,558760,493960,465480,477560,537880,669680,723520,720840,731960,716440,746960,730440,738760,747080,742040,734640,690480,560520,513040,473200,535360,574760,694760
"M",675920,645960,694280,702560,735080,717480,751400,735240,722800,719120,797040,771040,768920,743120,786800,743800,749600,731880,788240,744640,721040,701480,678080,667080
"N",598440,605280,646200,409200,440320,452880,472800,545040,665600,707760,697400,725640,689800,7e+05,681000,688280,697520,690280,696200,694240,651440,644600,630880,669240
"O",680000,644360,673640,674960,715880,689920,758800,735480,718560,695120,747400,703120,715320,727520,740560,714040,746800,711560,842680,794760,821240,773360,638480,651840
"P",613000,616280,599840,634680,641920,650440,655680,678600,659760,683320,671040,676280,668560,684000,678960,685480,686240,688000,732720,721080,778240,769280,603000,641920
