"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",576120,656320,758800,754840,788280,734840,747480,811480,853600,805080,805480,880440,901280,898280,845720,820480,788200,786160,750160,839360,818960,760760,721720,685600
"B",681960,811760,798600,877880,908440,910880,879920,944440,996920,938880,912520,1030000,995160,968040,964640,954920,936600,941080,935560,896160,844720,821560,827440,735360
"C",748560,3560,3360,3160,3600,3080,3160,2400,2560,2960,2960,1037440,3080,2880,2760,3000,2920,2840,3920,3520,4160,2880,3080,789320
"D",702720,3880,4120,4040,4600,4160,4120,3680,3160,2520,3720,1025000,4640,3840,3560,3440,3400,5080,4840,5320,6080,4920,5120,749880
"E",770240,131320,140000,51720,42400,73200,152360,218080,281240,256160,367320,1008560,400720,343360,509760,407760,209120,170280,46040,30200,72600,163600,163200,783960
"F",788920,518280,585280,485960,470080,564480,756320,769800,861720,877200,818880,1005000,880880,857120,818320,854080,789600,711200,576240,499120,491280,646720,588200,784240
"G",803280,692240,737520,684920,735880,802200,890960,893360,947240,1002840,938360,1017240,1007840,975680,934520,948760,961480,898320,747080,702680,691080,749360,732480,796680
"H",721920,731560,751480,735800,738040,841400,886440,911680,946280,946320,974600,963320,961120,981000,978080,951720,985880,912520,843000,818760,821920,774840,729120,785040
"I",755280,703960,711960,713680,736320,783080,873120,947080,949160,930400,966520,971560,961080,972600,977600,957240,955000,913200,830160,823920,779640,785120,715480,762080
"J",709200,709400,686240,686840,724080,808840,870840,862000,912920,946320,933240,992560,969760,979600,960400,938080,958440,890280,829040,751520,737040,805120,758800,763080
"K",689560,764640,787320,822640,848960,853760,896040,907240,942320,914040,930000,915360,914160,908760,878240,912800,907600,918480,913320,874480,849520,844280,786480,723360
"L",691920,654520,724960,684360,731320,774400,816800,855920,887440,917000,920640,921240,923920,905800,894680,885560,871280,843760,838520,826160,730960,771440,703000,784200
"M",651840,753560,756680,798800,828000,828000,869400,878200,853400,883680,893480,941520,898360,882560,879840,890520,872880,873880,845200,834560,873480,818800,813360,725880
"N",640720,753520,765800,7560,7280,287160,722720,771760,842840,841800,869760,894160,863520,874560,887800,820280,884760,884680,835280,814640,853840,772160,789360,792760
"O",661320,751560,724000,723120,756000,812160,818400,802080,838880,844880,874480,849080,872280,871000,868840,847960,873320,875880,825120,811640,789280,771560,777080,745520
"P",670840,658480,645840,705200,655520,733360,775960,803520,825040,814080,830840,827640,826360,832920,796720,830840,812840,836760,812440,837520,844760,766200,739360,722400
