"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",527960,521280,521240,543200,556560,554520,561520,553600,564520,575840,592800,615400,589000,576280,579240,583800,572560,571880,558600,532840,546800,550680,513920,536840
"B",505320,538760,511520,547880,543480,534040,551080,539400,569840,579360,580360,571640,577680,578600,552880,564800,575160,583640,559440,537200,543520,523600,507520,537040
"C",512680,331520,362840,333520,314400,348400,458480,482360,503920,531720,485480,566520,528440,523400,540360,510480,491560,439840,379600,333480,344080,363400,355000,513760
"D",505080,312640,331880,318440,314840,346320,454120,519440,534760,561160,551520,584360,554680,536560,554840,525400,514040,441320,370320,325480,336400,345160,348640,565960
"E",516640,306240,314960,275280,314600,371200,460920,512640,525760,527320,562480,569400,556320,531320,548800,547200,503280,468640,370520,328880,309000,329840,326120,534040
"F",514160,282880,320920,279880,313240,382320,438200,526440,536600,567880,557600,583920,572760,559600,567040,546240,525520,445960,360080,328680,300560,318960,289640,552680
"G",528680,276760,323520,292040,294720,360600,447320,504040,555280,519640,565920,559320,568040,568040,542920,549360,528640,471080,371400,301360,306640,311480,283560,542600
"H",499640,286040,305120,274160,282120,349080,473840,549920,555480,591600,564720,572240,560920,593000,576440,568760,550640,469400,360400,287320,281960,302520,282560,549080
"I",514000,257600,293280,268560,295720,341920,452360,491360,558000,560120,569000,547400,557720,555760,562360,529080,512360,463000,330600,298720,288120,306560,281960,510440
"J",495800,258440,270080,271240,287600,362000,429400,517120,531040,573240,558040,564600,525320,534560,570800,547840,5e+05,446560,356880,312360,280480,297760,273400,564720
"K",505960,500480,518480,498680,503840,521080,542440,554480,553280,557960,563400,527520,546240,545440,562000,551600,528240,535720,543920,514920,502720,510960,511680,510880
"L",507120,266440,264600,262160,287040,361080,439200,489600,520600,538760,531200,538440,505840,538640,541120,522640,437320,426280,327960,280840,258600,287000,266480,497440
"M",472800,462920,473360,498440,490480,494480,511800,491320,518040,524240,535520,529480,527280,522600,526880,520720,521000,514720,508320,479200,485760,470200,496840,478560
"N",408240,472360,474400,465920,451840,487400,493280,508760,507920,493960,503600,492960,508120,514640,507040,506640,495760,474800,472320,490400,468400,467320,473880,474880
"O",467520,455000,475560,468400,463280,477200,487880,491040,500240,498680,505480,481000,514560,511480,512400,495600,501880,486840,488720,478280,466440,460720,480840,445040
"P",443120,452200,455240,479000,458960,475480,488680,472440,489720,498840,464800,509800,478800,501680,502840,486440,497200,503600,483680,492240,470000,450520,465160,465800
