"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",89,15795,15686,16586,15849,16076,15597,16328,16370,15981,15993,16045,15724,16552,15788,15603,16503,16538,16421,15905,15809,16225,15647,15638
"B",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16499
"C",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16563
"D",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16527
"E",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16617
"F",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15871
"G",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16265
"H",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16348
"I",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15876
"J",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15813
"K",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16095
"L",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16320,16113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16536
"M",97,15374,15861,16244,16045,16218,16514,16354,15658,15644,15960,16094,15582,16604,16217,16230,15662,15778,16358,16261,16390,16664,15360,15621
"N",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15786,15974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15953
"O",49,1743,9626,13829,13697,14543,16617,15939,16410,16098,15724,16645,16067,16302,15895,16015,15671,15627,13839,14696,13062,9471,1905,15981
"P",84,16414,15864,16457,16269,16284,15904,16049,16065,16615,16488,16161,16121,15945,16622,15635,15561,16240,16605,16230,15796,16534,16138,16114
