"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",24,6219,6316,6172,6137,6253,6191,6306,6295,6292,6206,6320,6142,6313,6316,6164,6240,6195,6147,6153,6285,6223,6279,6280
"B",24,6219,6169,6163,6246,6124,6314,6130,6187,6290,6159,6314,6245,6113,6215,6198,6162,6113,6225,6167,6250,6215,6140,6209
"C",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6152,6131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6167
"D",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6279,6130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6131
"E",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6297,6331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6160
"F",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6319,6203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6175
"G",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6307,6177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6172
"H",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6195,6194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6165
"I",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6291,6134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6258
"J",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6154,6239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6238
"K",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6238,6111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6314
"L",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6185,6311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6219
"M",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6218,6267,6291,6289,NA,NA,NA,NA,NA,NA,NA,NA,NA,6118
"N",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6180,6261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6200
"O",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6266,6146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6260
"P",23,6305,6152,6238,6159,6220,6292,6276,6139,6248,6274,6147,6248,6312,6271,6167,6119,6293,6145,6301,6228,6168,6321,6264
