"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",42,6307,6257,5874,6240,7799,7546,6338,7354,6625,7000,7023,6641,7193,5877,6967,6939,7644,6956,7994,6530,6737,4713,6328
"B",28,6597,7320,6725,7308,6511,6464,7096,6408,7080,6246,7335,7334,7626,7148,7720,6894,6986,5841,5927,6976,7653,7212,7355
"C",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7141,6096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7450
"D",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6371,7161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7137
"E",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270,6873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7228
"F",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5993,7293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6882
"G",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7599,7320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6711
"H",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8525,8894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6427
"I",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7164,7995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8015
"J",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9433,7582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7613
"K",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7196,6977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6952
"L",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8424,7509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8357
"M",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,6969,7095,7801,6845,NA,NA,NA,NA,NA,NA,NA,NA,NA,7488
"N",16,2144,6339,6651,8593,8363,6793,8344,8201,7889,8019,8549,7166,9405,6995,8766,7857,7728,7854,6851,6147,6201,1639,8202
"O",33,142,101,75,242,299,873,4037,6754,6310,7489,7686,9272,6920,7300,5867,2627,763,290,131,165,132,138,6125
"P",51,7050,7259,6703,9243,7590,7893,7781,6633,7204,7709,7550,6959,8929,6890,7079,8275,8642,6823,7384,7380,6539,7802,5913
