"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",99,14518,14089,15263,1898,5225,1714,325,16097,16023,15008,16900,15320,16051,15904,15976,16251,13773,15293,15475,15685,14815,15122,14310
"B",46,15527,15172,14605,15148,14429,15937,15889,15799,15099,15906,16290,15344,15952,16162,15268,15555,13724,15499,14729,15507,13975,13942,15375
"C",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15319,15730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14486
"D",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14613,15857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14968
"E",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14095,13658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14042
"F",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14165,13324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15398
"G",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14616,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15834
"H",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14760,14268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14968
"I",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15023,15189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15555
"J",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14589,14305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897
"K",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14476,14424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13986
"L",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13838,15127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14375
"M",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,14299,14341,15331,14786,NA,NA,NA,NA,NA,NA,NA,NA,NA,14848
"N",37,1705,3109,7396,12118,12805,13857,13970,14873,14874,14849,14872,14716,15150,14121,15486,14836,14191,13547,11723,6252,2445,1965,14227
"O",32,302,395,426,1317,8805,12565,14301,14961,13888,15171,15110,14349,13923,15880,14981,14226,13029,8115,1460,448,387,412,15547
"P",55,15091,15010,15218,15285,15128,16382,15882,16760,14288,15371,14295,15568,15012,15565,15534,17042,15664,14357,13829,14544,14447,15132,16090
