"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",31,5997,6122,6159,6113,6118,6123,5970,6172,6278,6228,5984,6187,6131,5952,6271,6035,6193,6172,5948,5988,6284,6255,6086
"B",30,6090,5954,6042,6143,6215,6055,6174,6091,6069,5960,6115,6082,6008,6044,6185,6114,6035,6162,6216,6164,6177,6019,6156
"C",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6018,6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6269
"D",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6048,6100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068
"E",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6078,6266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6099
"F",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5965,6092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000
"G",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6027,6027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6201
"H",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068,6112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6252
"I",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5949,6163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6174
"J",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5967,6169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5985
"K",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6133,6255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6259
"L",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5936,6123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270
"M",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5991,6136,5982,6209,NA,NA,NA,NA,NA,NA,NA,NA,NA,5966
"N",29,67,761,927,1785,3380,4819,5739,5957,6045,5959,6139,5975,6187,6010,5877,5683,4332,413,1624,755,522,87,6197
"O",18,36,30,31,37,113,201,215,255,1810,4115,6193,6173,4048,1834,249,516,157,74,36,33,30,39,6140
"P",28,6186,6038,6096,6030,6098,6207,6126,5949,6246,6141,6082,6090,6006,6143,6211,6268,5995,6229,6111,6120,6073,6038,6124
