"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",54,6284,6726,6205,6931,7518,7003,6978,6706,7388,7181,8048,8089,6994,7992,8449,8111,7743,7756,8109,7778,7514,7675,7236
"B",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7449
"C",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7674
"D",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7864
"E",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6929
"F",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8406
"G",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8361
"H",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7321
"I",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8692
"J",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8771
"K",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7583
"L",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8247,8233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8440
"M",61,9096,8068,8036,8023,7869,7689,8491,7740,8060,8331,9733,8556,7685,8135,8050,8076,8104,8232,7848,7924,8936,7712,7694
"N",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7987,9206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8324
"O",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7275,8957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8071
"P",45,7755,7382,7990,7432,7265,7862,6832,7592,7003,6361,6673,6706,6509,7012,7913,8402,8110,6705,7435,8431,6650,8460,8613
