"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",29,6213,6090,6021,6148,6254,6209,5966,6165,6038,6013,6085,6041,6019,6231,6096,5979,6018,5993,6236,6258,6029,5963,6021
"B",28,6147,5985,6040,5997,6117,6252,6075,6286,6155,6062,6266,6003,5961,5965,6177,5958,6035,6012,6206,5993,5994,6257,6177
"C",19,48,49,280,852,1681,1679,2028,1887,2490,2129,6024,6241,2179,2535,1933,2075,1732,1729,903,333,45,37,6271
"D",18,50,158,1888,4402,4150,3879,3738,3734,3721,3018,6048,6186,3068,3670,3681,3782,3830,4101,4449,1837,213,29,6013
"E",18,54,896,3700,5108,5551,5194,5235,5291,5094,5237,5970,6006,5286,5042,5243,5287,5145,5498,5156,3646,944,30,6063
"F",18,55,1643,4380,5591,5744,5686,5702,5913,5636,5771,6063,6113,5819,5583,5864,5752,5636,5691,5646,4330,1694,31,6024
"G",18,50,2059,4417,5329,5803,5798,5755,5721,5629,5753,6163,6177,5806,5574,5666,5807,5754,5750,5381,4363,2112,33,6177
"H",18,47,1858,4492,5140,5627,5644,5526,5797,5855,5628,6016,6223,5956,5800,5744,5573,5592,5580,5195,4439,1912,32,5975
"I",18,52,1964,4299,5011,5518,5586,5687,5669,5807,5646,6203,6023,5932,5754,5625,5735,5536,5464,5057,4245,2017,34,6190
"J",18,48,2393,4490,5174,5529,5636,5536,5743,5527,5774,5937,6102,6081,5475,5696,5590,5581,5483,5222,4443,2437,32,6025
"K",17,48,1984,4415,5205,5138,5623,5585,5631,5607,5619,6066,6127,5952,5561,5577,5637,5576,5092,5258,4367,2029,32,6171
"L",17,51,1921,4488,5142,5552,5546,5683,5768,5802,5806,6167,6161,6100,5754,5720,5737,5502,5501,5194,4442,1976,32,6229
"M",18,45,2284,4497,5233,5311,5974,5739,5733,5917,5712,6209,6127,6056,5867,5683,5789,5920,5259,5287,4446,2331,41,6267
"N",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,6234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6026
"O",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6132,6178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6279
"P",26,6138,6072,6005,6079,6194,6020,6278,6189,6245,6110,6158,6282,6055,6147,6078,6093,6204,6278,5948,6073,6109,6097,6188
