"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",76,8053,8689,7904,8220,7993,7749,7855,9017,8569,7668,7964,7530,9400,9150,8993,8489,8376,8429,8285,9176,9181,8522,7719
"B",36,224,333,172,209,217,320,341,374,345,383,184,99,316,519,367,417,396,404,338,224,201,156,8846
"C",66,1341,1422,1635,1837,2358,2763,2913,2856,2341,2386,2314,2477,2790,2717,2712,2764,2492,1922,1956,1874,1777,1653,8124
"D",41,1937,1927,2236,2618,3459,3893,4287,4140,4036,4502,4797,5297,4480,4663,4478,5217,4696,3832,2652,2528,2108,2455,8584
"E",36,2143,3095,2941,4606,5933,6738,6624,7898,8003,8327,7707,7935,7273,7403,7752,8228,7164,6868,4490,3706,3133,2914,8932
"F",39,2987,3599,3933,5473,7141,8863,8151,8208,8745,7376,9944,10412,8949,9567,8749,9541,7862,7830,6527,5044,4334,3143,9746
"G",80,3706,4352,4281,6317,8163,8880,8967,9717,9723,8420,9906,9940,9498,9775,9780,9425,9425,7505,6792,5249,4568,3551,10111
"H",44,4121,5290,6149,6770,8305,10412,10460,10893,11019,10351,11116,10907,10543,10139,9960,11356,9360,7404,6894,6225,5134,3906,9387
"I",45,4190,4829,5947,6407,8986,9854,9792,10209,10908,9232,10611,10760,9940,10484,10954,9641,10444,8493,7684,6526,5686,5104,8492
"J",44,4169,4867,5613,6784,8143,9989,8966,9978,10809,10494,11857,10984,10531,11157,10868,11108,10622,9018,7065,6711,4959,4357,10374
"K",51,3649,4036,5805,6876,8731,10293,10526,10655,11623,10403,10099,10018,11026,9587,9201,11327,9017,8857,6778,5619,4486,4225,8787
"L",73,3771,4242,5688,6144,7791,8904,8978,10206,9396,7694,10169,10536,9232,10506,9513,9822,7899,6883,6419,4502,3999,3879,9327
"M",102,8823,8610,8549,8841,10396,10069,9753,8928,10180,9197,10404,11173,10045,9053,9812,9213,8942,10002,9215,8932,8446,9635,9308
"N",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8862,10462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9473
"O",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10081,9705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8887
"P",63,8870,8702,8876,10270,8803,8716,8457,8599,9397,8067,9613,9286,8472,9494,9049,9310,9609,9251,10181,9324,8682,9644,8882
