"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",30,8153,8423,8252,8656,8655,8683,8203,8786,8343,8612,8583,8328,8271,8639,8473,8293,8342,8379,8769,8845,8595,8542,8442
"B",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7507
"C",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7995
"D",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7613
"E",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7622
"F",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7587
"G",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8148
"H",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8181
"I",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8273
"J",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7798
"K",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8263
"L",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8408,8261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7238
"M",59,8856,8320,8619,8379,8144,8407,8814,8850,8303,8784,8201,8350,8832,8174,8857,8455,8818,8662,8130,8549,8525,8410,8417
"N",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8699,8785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8337
"O",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8156,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7854
"P",41,8006,8249,8198,8027,7938,8422,8199,8297,8202,8624,8265,8121,8882,8140,8746,8471,8747,8222,8787,8494,8845,8339,8138
