"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",70,13981,14912,15873,14728,16257,16131,16136,16829,14798,16071,14857,16059,16079,16954,15699,17113,15804,14880,15327,15300,15106,14200,14803
"B",50,15989,15366,15718,16813,15837,15727,15781,16903,15372,16492,15069,15726,17209,16717,15365,16032,16052,15930,14775,15265,14898,15549,17334
"C",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16020,15751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15208
"D",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17227,15921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13527
"E",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16585,16125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13116
"F",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15829,15423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13424
"G",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15409,15267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15042
"H",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14801,16281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16291
"I",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15905,15159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14558
"J",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16568,14999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13727
"K",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15566,16762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13566
"L",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15211,14570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13694
"M",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,14566,15027,15921,15160,NA,NA,NA,NA,NA,NA,NA,NA,NA,14992
"N",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15047,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14497
"O",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15085,14443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15339
"P",93,14845,14736,14012,14834,15020,16057,14788,15146,15109,14572,15221,15315,15117,14638,18249,15480,15978,15013,15044,16037,15492,13254,15537
