"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",54,8568,7744,9341,9124,8970,9322,9132,8242,8599,9017,9315,10595,10498,8712,10385,9337,9580,9820,10503,10367,9452,9058,8675
"B",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9493
"C",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10182
"D",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9451
"E",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9810
"F",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8766
"G",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9917
"H",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10021
"I",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10175
"J",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8804
"K",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9413
"L",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10637,9779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8932
"M",48,9328,10553,8583,9762,9570,9931,10174,9540,10411,9476,10580,10548,10765,11152,9170,9250,10692,9072,9391,10243,8722,8891,9261
"N",34,86,119,554,2918,5504,8320,10521,10338,9977,11077,11262,9307,10033,9293,9815,8500,8280,6619,2192,535,105,145,9645
"O",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9786,10212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8555
"P",61,9621,9611,9149,8784,9303,9759,8978,9871,8775,8374,9556,8297,7348,8462,10087,8462,9415,8933,9444,9159,8305,8309,8575
