"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",21,6678,5646,5993,6447,6035,7455,5823,7084,6747,7181,7574,6408,7492,5971,7155,6735,4965,6098,6314,6987,7270,6388,6720
"B",40,6511,6888,6261,7227,7211,5819,6243,7458,7068,7685,6685,8152,7658,6706,6195,7855,6885,7126,5902,5921,6414,7525,7024
"C",38,47,71,84,106,46,73,77,191,1045,2944,6833,7011,2171,629,177,58,56,48,49,29,33,38,5811
"D",23,41,43,44,25,41,22,77,171,1741,6564,6959,7864,5339,1771,193,58,30,71,104,41,40,52,5325
"E",31,57,52,66,35,56,65,89,115,2355,5661,6801,6741,6598,1209,247,132,53,48,40,49,38,52,6626
"F",18,34,43,35,45,70,75,36,216,1779,6210,6693,6985,6284,1554,70,31,50,28,67,25,29,46,6612
"G",23,29,45,62,42,76,32,64,156,2306,6558,6472,6278,7076,1550,277,90,75,34,44,32,58,37,7080
"H",27,41,21,23,87,83,74,40,216,2641,7255,7642,6379,6972,1718,228,168,66,46,45,44,57,41,6451
"I",33,29,42,64,25,45,52,63,292,2131,6251,7862,6969,7698,1819,213,90,45,61,73,54,39,50,7410
"J",40,30,30,68,41,60,66,59,472,2444,8176,7250,7670,7531,1652,310,43,75,36,21,45,17,76,5794
"K",24,34,34,37,39,29,41,59,274,3008,7635,6748,6913,8279,1795,299,85,36,79,46,74,87,51,6753
"L",27,47,15,55,39,61,24,64,242,3343,7135,6890,7152,8460,1245,232,90,59,36,72,46,29,61,6685
"M",45,28,23,45,43,94,43,34,235,2667,7092,8301,7342,6022,2112,357,38,47,66,58,44,59,62,5920
"N",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7914,6670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7044
"O",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6800,7449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7051
"P",58,6645,7442,6163,7196,7515,7077,6861,6894,6747,6451,7155,7577,6769,6856,6877,6600,6567,6600,7166,7448,6998,6811,7692
