"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",63,16689,17279,16525,17639,17899,17938,18361,18810,18010,17911,19649,20251,20070,19110,19310,19248,19095,19336,20089,19114,18369,18610,17257
"B",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18061
"C",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19166
"D",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19555
"E",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19170
"F",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20469
"G",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19958
"H",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20022
"I",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19628
"J",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18945
"K",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18128
"L",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20443,20651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18712
"M",119,20054,19198,18908,19386,19716,20676,19935,19195,18911,20269,21470,20589,19195,19673,20723,20006,20407,20727,19324,18821,20189,18268,18248
"N",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21587,19654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18236
"O",100,9196,16171,18230,19986,19178,19252,19099,18978,20207,20345,19793,19428,19652,19180,19218,20574,19536,19594,19689,19260,16001,19175,17913
"P",70,17662,18595,19183,18387,19567,18681,18761,19018,18668,19048,19490,18840,18072,19132,19852,19990,20002,18397,18553,18212,18391,16856,16815
