"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",42,11389,10995,13090,13482,13489,17296,15048,14301,15167,13294,16311,15761,14548,13852,14310,14635,14080,13259,12703,13570,12684,14910,12781
"B",69,14165,14702,15614,16275,15958,15123,16662,17530,16360,17220,17167,16042,16672,16812,16353,17308,16857,14953,14432,14547,14132,13113,12403
"C",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16629,15762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11541
"D",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15564,15920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12867
"E",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15627,15614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13217
"F",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15350,16567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12430
"G",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14963,15827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13329
"H",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14894,15159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12427
"I",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14610,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13329
"J",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15117,16182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13265
"K",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14933,15159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13456
"L",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13872,14599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14444
"M",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,14228,14269,15142,14279,NA,NA,NA,NA,NA,NA,NA,NA,NA,14927
"N",34,1122,1242,5163,11677,14574,14146,14083,14688,14017,14706,15262,15398,14008,15344,14750,14518,14451,12399,12452,4403,1972,1175,13377
"O",74,3886,5272,8135,10526,12202,13812,13725,14200,15716,15685,15107,14954,15038,15541,14726,14455,14255,13089,10253,7864,5559,4566,13593
"P",23,12486,12458,12720,13880,14111,14476,14963,14259,15456,14719,13222,14451,14188,15194,14885,15029,14900,14890,14374,14519,13223,14299,14219
