"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",480,440,280,160,200,0,360,160,720,200,640,80,840,160,520,600,800,200,240,80,280,160,360,240
"B",320,280,640,8120,240,80,120,200,240,240,240,200,480,80,120,280,360,80,280,120,240,360,400,160
"C",480,15800,240,320,240,80,240,160,640,320,120,160,24520,200,800,40,40,520,160,360,400,320,240,240
"D",440,160,400,80,40,280,640,400,640,160,160,160,7120,24720,480,200,320,40,40,280,160,360,40,240
"E",37920,200,320,10120,840,120,200,280,160,240,200,80,320,43200,160,280,400,160,600,720,480,360,520,160
"F",3000,6720,30720,120,560,120,160,240,360,280,440,640,320,6520,400,440,120,320,160,320,240,200,120,640
"G",90720,26920,11880,35920,160,240,240,200,200,120,120,280,87200,34960,53560,240,40,200,80,200,440,280,40,240
"H",360,49760,45400,17360,200,720,1000,200,200,120,120,120,30880,43360,53960,49560,480,280,120,240,440,40,200,240
"I",47680,240,1240,37240,200,80,240,240,320,240,200,120,28040,64480,44680,62120,2360,400,640,80,200,280,160,40
"J",12880,19800,1400,45240,240,640,160,440,240,40,200,80,63440,1800,560,82600,10160,80,440,280,600,160,240,200
"K",72960,4760,79120,6720,9200,280,120,400,160,80,280,40,320,80,26360,40040,320,120,40,120,200,160,200,520
"L",200,18920,39400,50640,280,240,640,160,320,1080,200,360,66920,840,44520,400,200,400,280,80,240,40,160,280
"M",160,400,480,21000,80,120,41280,49880,6160,83400,110600,98320,80,200,480,200,400,400,440,280,43400,82200,83320,76680
"N",200,520,8200,160,29440,41080,23200,38680,70000,46120,70440,52800,80,400,760,560,320,640,120,240,760,2120,45840,56760
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,76160,440,41120,66720,26080,75200,3440,79720,68480,81280,109600
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108240,80840,13440,74200,24040,75960,122360,28080,38840,50200,57520,62200
