"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",96400,135240,119960,97160,107600,62720,2480,520,1840,2040,1800,1640,124160,86160,125720,78680,101840,91760,1560,1080,1160,1480,1480,1960
"B",117880,124040,119000,125280,69360,69480,2160,2360,1520,880,1520,1240,126920,125400,120120,114040,138440,59640,2040,1840,1760,1760,2120,1240
"C",123680,131560,125360,130040,87520,72800,54880,1560,2120,1280,880,1520,133280,107840,108560,125760,133520,61560,31120,2160,2360,1880,1760,2000
"D",138040,122840,130280,129680,105360,109680,122800,54840,1880,1440,1000,2120,122760,140240,133440,130720,129360,90280,80520,1440,1480,2560,1240,1520
"E",78800,125040,137600,124840,118720,137240,63000,1240,1720,1800,1760,320,125560,149400,142760,138000,115200,94680,113760,66440,1800,1640,1880,1280
"F",148560,132920,131800,157520,153560,131480,60360,1080,2080,1560,1360,1640,128240,148760,124760,130320,141960,134240,54080,1880,1520,1280,1600,2000
"G",162640,148520,141680,129880,133720,115200,106680,1400,960,2080,1480,1880,171760,129720,132240,129240,160480,111720,45480,2120,1200,1240,1680,1840
"H",132040,132520,137800,137720,125080,116520,119960,1800,1920,1880,920,1880,114240,129400,144040,135680,131600,118600,116680,41480,2040,560,640,1800
"I",137760,145920,155320,130920,149480,87640,116480,40400,2120,1960,1640,1280,145320,134440,143040,130200,153080,112280,146960,1120,1640,1800,720,720
"J",142320,163640,134160,132920,129800,134720,6640,83720,1000,1200,760,920,161840,95680,142200,154720,143320,127280,121440,1480,2080,1360,1880,1840
"K",126680,125720,134960,144200,144800,137840,105200,78760,1960,1120,1880,840,152640,102080,160320,92280,140320,75560,37960,91840,2240,1400,1880,2360
"L",165800,142760,126360,92960,128240,134600,116480,48920,1800,2840,2120,1720,188520,162000,132560,176920,135960,121960,93840,30480,1560,1720,1480,1920
"M",123840,123480,122840,121000,145320,167120,142640,132560,123480,149760,147000,141560,920,1880,1680,1440,82440,120160,133960,136640,115200,135000,143840,148480
"N",105760,121280,111800,130000,144440,129720,116520,128320,135840,164840,129560,146800,1080,1880,1960,2560,58600,127360,124200,129480,149840,158000,139000,137760
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145680,157960,135200,141160,168360,137320,130280,149800,114520,126680,130760,169240
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155040,144000,146480,138440,147920,127360,131080,155000,138200,137240,139840,149720
