"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",32760,30560,28320,30400,29880,35640,34680,53480,32280,64800,105960,21360,27520,42960,22360,23560,25000,31360,29960,55200,40880,107400,115520,18840
"B",25280,28360,22600,22200,53320,27480,45760,24720,35920,40640,112960,21440,28120,28680,26480,28160,30760,29200,23280,38240,29600,46160,106200,15080
"C",23640,18440,23840,26120,34800,27640,25480,29600,29600,68360,101480,20520,21040,22040,29160,36120,36320,26520,44960,30280,27800,52600,119480,31680
"D",24760,27640,22960,39880,49920,26320,19760,26400,23800,61080,111320,29040,23640,21920,23560,23160,30320,28840,30520,22920,40720,34920,124280,47560
"E",37440,24320,27360,29400,23320,50120,22280,36200,32000,44640,125240,49160,27760,30920,35000,31000,27360,30280,25240,22440,32360,58400,114320,42080
"F",24400,22840,18160,29640,20960,25640,41840,31400,30880,58640,105000,62320,26520,40880,25760,30360,36920,22920,31680,26880,38840,39360,135360,56040
"G",19720,21400,23640,24760,29080,25600,32440,41520,48600,53520,144720,43800,18600,22440,20640,23720,34360,23080,34280,29640,27520,74440,141360,44640
"H",22440,22800,24480,28040,25120,21560,26080,45560,34080,53400,127680,16560,25120,20760,20840,17960,28360,32880,28520,36120,33840,78760,133800,22160
"I",24200,21760,21920,21360,31080,34560,31160,30200,38760,66160,121440,12760,24640,23960,24360,25440,29120,33480,19400,38440,36360,70800,129680,21080
"J",24480,24400,21280,24880,26360,21520,33600,24720,48600,79520,124880,20800,23680,26160,23200,21360,25760,30960,30840,41160,30280,76520,109520,11080
"K",22080,23040,17680,26120,24400,35520,32720,27560,33840,81240,118560,18200,21240,22920,22360,26840,31000,32240,35360,28880,42760,89880,115920,8120
"L",24720,29440,32160,25360,34240,29560,25240,42120,37400,85680,118520,4560,18080,25280,21160,27520,32720,32000,31800,29320,28720,107960,121960,10280
"M",30240,27480,25480,21880,39120,27760,25280,18560,24520,23600,18600,19200,23400,123800,69560,45800,32720,21880,23960,32280,27520,17840,20200,19000
"N",24920,26960,28640,30080,27320,20440,19440,20360,16720,26040,22040,20720,12960,112680,70440,49360,27040,24680,31840,27480,23280,22360,21440,23160
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27280,18480,19440,20400,21240,20120,21600,23040,23920,20040,23160,16840
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22040,18600,20160,23880,20280,21240,19640,23480,25800,20080,21120,19240
