"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",23640,12000,16080,12320,29640,28280,34000,6160,18880,1440,720,880,10000,4400,9960,26600,31080,34200,27440,7840,2720,880,560,760
"B",34440,20560,28200,20120,18040,32600,33240,36480,26760,3960,560,480,13880,19160,23800,31920,40080,35720,24760,26520,25960,640,600,520
"C",25560,28040,25480,26280,39920,34960,35080,30840,28440,400,480,440,29120,26320,17840,30200,34240,38720,19800,36320,27680,5760,760,560
"D",27480,28560,30440,29160,28840,34080,41680,31600,31400,1720,320,680,21840,27400,31080,25280,39800,42560,31400,24280,21720,7040,560,520
"E",28880,33680,27040,23600,49640,33000,39120,10960,19120,6440,760,80,29040,31560,24320,26600,38120,37120,39200,22320,24360,1640,800,360
"F",32360,34760,28000,25880,34640,40840,28320,15160,27880,4560,680,520,37200,23040,23520,34560,30400,44000,43240,43240,12440,680,440,680
"G",27120,28440,45240,24640,43360,46280,45520,21800,12720,1400,440,680,27480,31880,29160,30120,58160,57960,35000,44960,31880,840,760,680
"H",26200,24960,35520,40760,35880,50400,41320,42840,28280,2200,400,680,24640,30080,28280,30360,55880,38480,51640,38080,20560,360,440,680
"I",30840,23880,34440,89080,65120,56000,49560,45120,37360,4960,560,520,34160,48640,36480,32520,45120,47840,46520,43920,36400,4480,440,280
"J",43080,55720,33640,40960,43680,50880,35480,36880,16360,2760,320,400,62240,64320,32400,40200,41040,54760,55680,37200,8520,2760,720,760
"K",38400,42480,31440,49880,43720,65880,48160,53080,28520,6000,720,400,36880,69840,44280,39360,44280,60240,53640,47440,30000,3000,760,640
"L",32040,55720,66480,73280,45920,50120,51640,32360,37480,12480,800,800,37200,44600,32200,40560,37960,44600,37960,48360,41880,1760,640,760
"M",12640,17840,30800,18360,33960,29360,27080,28000,34840,39440,34320,33840,320,800,15400,28720,51760,50200,49360,54960,36120,54280,33320,50840
"N",11960,19960,21840,24920,31760,27000,43400,34360,44280,54360,25560,50200,480,880,10280,38320,47800,50960,42960,42200,42360,42520,45520,23560
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65080,36280,31160,44760,80840,46760,39880,83440,47840,27800,37920,34840
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41080,24160,30800,38880,59080,34000,31520,40520,37360,35560,34240,35720
