"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",50680,58080,60120,49560,53080,39400,28840,9520,16080,11520,7080,3000,51720,41200,55840,44080,45360,36240,29400,8000,10680,7280,5760,3240
"B",47400,37600,63840,62080,35040,41080,16000,14240,17080,7920,6120,1800,64440,55120,59200,63520,50520,37960,25200,16040,16360,9120,9720,1680
"C",71560,66640,61440,60400,38360,32920,34200,26800,23640,6240,4000,2400,54200,65560,64400,22920,48440,26800,15440,24880,18440,11600,7520,4800
"D",73800,54600,82720,41040,22400,57120,35120,19000,21200,16240,5800,5600,56680,59480,52360,70280,67800,54800,38360,26960,18080,18320,4160,5120
"E",52160,75920,72920,79680,59320,31360,53680,27160,26960,19360,11840,1600,78000,49280,73840,77920,56360,50720,47680,38880,32240,24880,15920,2400
"F",97720,80000,97240,84520,62600,65440,45080,46200,39760,19560,13080,10440,91640,94720,100960,74880,66640,74400,50000,45720,38280,30880,15160,8600
"G",130880,135560,100160,109640,105960,108240,82480,62800,30800,57800,26480,19040,133680,125400,105080,99960,109840,97120,41920,77280,46680,44760,35640,17480
"H",143240,146680,181720,173920,134280,139640,126160,47240,103000,116160,47600,40240,147040,140040,166400,180080,146760,140200,132040,121880,1e+05,44480,38360,43640
"I",222680,193280,267680,210840,206520,180400,182960,200080,144520,171720,135240,165640,173920,191960,191040,213560,247960,254680,215360,140880,160080,162200,92720,106480
"J",244600,190440,210440,169360,173480,342120,228360,197080,278120,175800,216440,92920,260840,230920,208240,194600,263080,286680,160760,264240,288360,169160,198160,171800
"K",210920,240960,244920,267920,227800,199960,183840,191360,242400,256080,185000,112640,181080,209800,278360,242880,248520,200360,182400,273280,176280,174400,161080,132920
"L",181000,234760,260920,187600,181400,201560,202200,173960,173640,250880,157120,134760,255640,262520,190200,245480,173280,257200,252320,237480,2e+05,167480,215640,171680
"M",57880,52520,49160,70640,48960,78720,113240,170120,202800,230520,226760,320960,138240,180960,227960,259480,181320,186160,192720,227400,211840,192480,219120,219760
"N",53720,52040,45800,54680,69800,96520,115400,158360,173240,210000,190120,175960,116880,191080,176360,196160,202360,229160,252080,179080,225240,199720,210040,194120
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185880,186680,186840,267760,219840,239960,213520,193800,212680,242080,214920,187760
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174000,201320,231960,234480,190360,180160,213240,216080,289520,183640,253720,180880
