"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",124440,136240,136080,127280,113360,119680,102520,70600,85120,61160,22640,3720,123480,101240,133760,113080,106800,112760,99680,66280,71080,44600,20000,3000
"B",143000,115120,141520,148120,97320,101040,96160,99400,82080,56120,25640,1920,148320,143640,140480,124160,117680,99600,103640,93560,87600,55360,24200,2200
"C",157520,195960,145160,147680,99880,103800,128120,105040,81560,35160,19440,2120,150000,174680,139200,75080,122520,107560,76080,110040,87360,57800,21600,3080
"D",161400,163040,164360,140680,84800,160680,126200,121040,91560,57960,17640,2960,167920,157880,145240,164160,131560,129720,131680,121800,96920,57000,11200,3440
"E",165160,170480,166840,175160,146000,121240,174680,115800,99720,56840,24800,1600,165280,164280,178360,181400,155080,166240,142080,119360,118520,67760,23600,1880
"F",187080,210560,240280,183320,158160,168040,156200,142080,133360,65400,23320,3520,174440,186800,190520,188840,163120,156960,176480,166880,124360,79560,18080,3600
"G",200160,184600,214000,200440,188000,181360,171600,169960,124200,86600,23000,3880,184040,218920,188160,179480,206320,209880,155080,166840,168000,87720,21880,3760
"H",199000,221840,207280,191840,187960,192680,205560,169160,169400,114760,23720,2920,183800,231080,256800,187920,176880,176120,197640,204480,152320,106920,22360,3160
"I",183360,214680,181160,204360,194040,219720,186680,182520,168680,117120,6040,3320,207240,237600,198720,185880,180600,200640,211880,213320,167120,74720,34040,1720
"J",198960,237680,207760,206840,185160,177640,199000,202440,190880,161400,17680,1800,198480,224280,179680,210680,208000,222240,173760,221040,188120,112880,5480,2720
"K",185880,219560,213960,216840,196120,175720,191160,190160,184080,181520,4000,2240,200680,213760,227640,189640,175560,203160,183840,184480,182200,102080,5400,4400
"L",194160,201360,219400,165720,182920,180960,184520,180760,194440,114720,3720,3520,180000,208520,223000,220920,199240,193560,205120,178840,201400,146080,5920,4280
"M",132240,158480,170920,161880,163160,187640,177920,218200,213280,187240,197640,184360,2120,3760,151800,172920,171160,191440,206800,181520,188240,185400,180440,188640
"N",133440,139680,134360,171680,158080,200680,228920,214200,228120,192160,194240,223280,2760,3880,128080,166680,173640,174440,226280,204320,194880,185840,190360,183640
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199200,203080,194360,229920,181160,223520,196840,204040,193080,199440,184440,198720
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211920,206680,188560,191720,203400,210800,185080,185320,185200,198840,189200,197240
