"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",68520,89160,85480,80040,80800,69280,60480,64360,65880,64320,68000,61640,82440,71040,91240,69280,72320,68040,68160,56080,65080,49720,53800,54960
"B",78720,89600,88760,83800,72480,74320,78080,63960,64920,64120,67440,54320,83640,75520,99080,83640,83480,69840,63800,60200,67640,59720,63960,59840
"C",88880,99480,101400,87000,92920,78160,66960,62520,73560,66040,57200,51320,85760,94240,95800,84280,76640,74720,65920,73080,65640,71920,57280,63920
"D",100040,87040,90280,93480,79320,101960,80840,63800,71360,63800,60280,79640,99640,95480,87240,103480,105680,80320,71880,73400,68160,70560,69400,67280
"E",108200,106800,111160,96160,93680,76240,90080,79120,77720,64800,67480,70680,94760,117280,98440,109600,89840,99840,74040,80680,89760,80960,62560,63360
"F",125200,142280,138360,110400,126960,116680,99520,87480,93200,83600,81280,66280,115120,114880,130600,114760,126280,105840,119360,83400,80840,87600,67640,75400
"G",134000,144160,160240,140800,147280,126640,102600,101320,82840,78360,72200,80440,143760,127880,130640,124680,130960,69920,111760,106840,104400,80840,83560,88320
"H",90880,151560,158880,147360,151640,128920,125200,112840,110440,100520,85760,88320,167560,150000,176400,151760,156080,155520,123240,123840,106920,114640,71520,21160
"I",164840,186640,174800,107320,166440,160040,142160,121200,126160,103360,79200,93280,202920,112760,194600,188640,150360,146560,172840,130840,141360,94320,93560,82720
"J",178600,177360,159960,189440,173000,156840,148760,112560,121040,103160,118360,66400,202520,194400,184440,172600,209520,157000,161240,154520,104960,89760,87080,71640
"K",163880,194320,182000,212880,163680,168520,158720,107320,136760,84880,90160,82880,202440,206240,213840,194240,167480,163160,159880,130920,112880,86400,83160,84120
"L",188520,179840,210440,207840,181240,184920,149720,124280,110280,92920,79000,69680,201040,178600,164680,184960,177760,160720,120720,137800,101560,84440,85520,81960
"M",87000,84760,86320,102560,98320,107320,133880,152560,161320,175400,161360,174360,94600,72520,89440,106320,126000,145920,167000,153120,197840,182320,174600,166240
"N",88960,82280,91440,78440,110600,113200,145680,185160,175160,185880,197480,197520,70400,88080,95600,97720,121680,148960,174600,168400,181480,179160,196000,165440
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182760,181240,171240,219560,164640,187080,188560,195640,179080,167800,163760,154080
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158880,167800,182440,182640,234080,168360,181080,197040,173440,153480,187080,165800
