"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",7240,1680,1160,1120,840,1000,1000,680,1160,640,1200,680,1600,2360,1760,9920,1360,1080,1200,680,1000,680,1120,960
"B",1360,28640,1760,2560,1120,10560,14520,1480,560,1080,680,880,1640,1440,4520,1000,1160,13160,960,1360,1240,1120,1240,640
"C",1720,10840,8720,1400,23720,14360,1000,1080,1760,30160,680,1000,1920,1120,1760,6280,3840,5520,1160,1080,1120,1240,1040,1240
"D",1200,11320,920,9200,5560,640,5280,4040,1000,560,400,640,880,1800,22560,2640,1320,7920,7440,1120,1720,1560,840,560
"E",15640,840,1360,2000,50760,2840,800,1280,920,3200,1400,7640,10240,40600,12640,14960,1760,1920,11800,1280,920,760,1280,720
"F",760,41840,4560,560,1760,720,880,480,920,800,1240,840,1120,9040,1240,17440,3960,1480,20240,720,1120,1480,480,1360
"G",23080,25000,30880,24080,61280,520,680,1120,18280,720,760,480,1480,11120,4440,680,46160,13880,35880,840,41240,920,680,1000
"H",20120,64760,720,46960,10080,39400,1440,82520,960,600,560,560,41520,72240,4840,79720,67680,11880,21880,19280,8520,23480,760,920
"I",35480,83480,37400,123520,32720,111720,105640,20600,25440,880,400,4280,113840,93960,161440,122400,60280,26840,87920,101480,26440,15720,600,520
"J",79360,122760,81440,71720,47000,123680,46440,81720,43200,63760,7640,640,83480,143200,50320,94520,73520,113000,21720,33280,44000,14480,760,920
"K",102840,124040,123720,154800,115320,109320,126600,69840,47560,74600,40720,1000,93640,108840,105040,77920,74520,103800,103920,80640,49160,13360,680,880
"L",83680,115240,152600,145440,52800,58440,112360,51480,23600,22840,21600,800,113160,120840,126400,144840,65200,55360,40200,76160,101520,54960,55160,1080
"M",1520,1080,16000,960,13440,17000,1040,96080,68840,108360,119120,134600,720,920,98880,71320,89560,111880,113960,87240,78480,124280,124640,147200
"N",960,1240,15400,20440,41000,28080,560,63000,118840,89160,76800,136880,11280,920,78280,46160,86360,76160,120680,101000,102320,114760,119960,85800
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134120,146000,101880,91080,125480,99120,101480,120920,130040,106320,82400,123680
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108680,117800,91360,122520,160960,133520,134080,70160,114320,90880,120000,115120
