"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",123160,136440,134480,120880,17560,2600,3040,600,2120,1720,1960,1960,125680,120160,127800,112720,7840,2880,2040,1120,1800,1960,1400,1960
"B",135800,158280,146280,133800,80760,2200,880,1560,2000,920,1680,1400,141200,137840,128480,150200,17280,960,2520,1960,1480,1880,2160,1440
"C",151480,166920,150000,149320,79400,840,1960,1640,2240,1440,1080,1400,151320,163440,155160,152800,39560,1840,1200,2280,2600,2360,1600,2040
"D",146160,154880,142480,151400,89200,2920,2200,1240,1920,1760,1240,2000,143960,142960,140440,159880,42480,1840,1360,2000,1000,1400,1360,1680
"E",177680,157800,165080,140160,22440,3680,1640,1800,2160,2000,1680,320,152520,175080,164080,161040,111640,1880,2520,1680,2000,1760,2480,1200
"F",167920,164480,188640,157040,45840,2280,880,1360,1960,1240,1240,2160,148880,164400,155760,155680,100160,2520,1560,1720,1640,1920,1560,1760
"G",155360,157920,182520,157640,101880,2920,2080,1400,920,1360,1600,1560,169240,165000,158200,156200,88280,3280,360,1760,1120,1360,960,2280
"H",169480,158920,168280,170520,62920,3720,2920,920,1920,1680,1240,1520,157800,178080,179920,185720,99000,3760,1800,2120,2120,440,920,1840
"I",184880,196920,182400,189080,102960,3360,1560,1320,1880,2200,1560,1240,213400,189600,190600,181800,61800,3400,2120,840,2320,1720,800,800
"J",183200,203440,188720,169000,27200,3360,1160,1920,1240,920,760,1120,196400,179720,180960,190400,121480,10600,2680,1120,2520,1600,1960,1880
"K",176120,184800,194160,189840,96040,3120,1680,2320,2000,840,2200,720,198560,206440,237960,163040,133320,4920,1760,1520,1760,1840,1800,1760
"L",173560,200480,188880,171880,125080,26640,1760,600,1800,3240,1600,1800,206280,186120,182680,178720,124600,21440,1400,1760,1080,1440,1880,2200
"M",131160,129000,159760,172080,154240,156960,156520,167000,163720,179560,179280,203920,480,2080,2120,1600,3120,1520,8840,118840,197800,191040,201280,177840
"N",126840,132800,142840,151000,174200,169240,159840,208040,182920,210920,176520,195160,1080,2080,2120,2400,2560,1920,8960,120480,218680,200880,185000,177040
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167240,175320,186720,206160,199040,235880,171080,164920,162120,163320,183840,180280
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177400,216120,195360,184240,209280,176640,177600,189400,178680,180200,231440,193360
