"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,40000,38000,35680,24960,15480,2120,520,1680,1560,1480,1160,42680,35520,42200,39080,31560,14080,1840,640,960,920,1080,1160
"B",47880,42920,50120,49800,32280,16640,4760,1240,1080,720,1280,1080,45600,43520,46080,36880,37400,23000,2520,1440,1760,1240,2080,1080
"C",57160,62120,54760,50520,40920,24600,4800,1240,1720,800,1040,1120,57440,44880,42000,38760,40280,19520,7280,1480,2120,1760,920,1880
"D",59000,54080,52320,39840,38400,27120,10240,920,1840,1040,880,1240,45200,56240,54960,44200,49560,22880,7720,1200,1080,1680,960,1080
"E",51120,64720,63720,52680,48760,26960,3320,1200,1120,1200,1840,240,68080,47240,60120,63920,47760,32720,8160,1680,1480,1480,1760,920
"F",61400,45920,66680,62240,51080,37400,4400,1000,1800,1360,1320,1720,60720,76200,62960,58160,39160,35560,12280,960,960,960,920,1320
"G",82920,88680,73800,75760,57960,31240,8960,1440,560,1360,1200,1240,86160,76520,82720,81040,50480,44840,1400,1440,960,1280,1000,1720
"H",105080,107920,94680,79840,79440,42280,23160,560,1880,1080,800,1000,83240,96880,108480,114640,74360,38120,31000,1880,1440,400,480,1200
"I",142000,157360,134800,131800,126600,94760,33680,1160,960,1720,1080,840,158600,153440,162760,133200,124520,62760,39880,1240,1400,1080,840,680
"J",169760,164280,156480,157400,150160,129600,81240,21040,960,600,920,880,175240,166440,151680,155880,153360,151760,82760,3160,1720,1160,1280,1160
"K",150160,158200,157000,166440,146600,144360,121440,30960,1000,600,1320,760,166680,184560,187320,150560,140960,148080,90080,31640,1560,1000,1480,1520
"L",165560,165600,179280,145560,161000,142400,105720,12680,1720,1800,1680,1320,154960,171960,154720,177600,158800,129280,105080,36240,1560,1320,1240,1760
"M",39520,45640,50800,51840,46120,58840,75240,113720,123120,163240,151680,154640,360,1920,1240,1320,28840,101200,129760,168840,163640,163280,156400,148480
"N",39600,42240,55640,47280,54680,74520,62000,97120,142400,175560,158120,155600,920,2040,1920,1400,24800,106760,142280,151560,166200,166400,166760,154000
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170640,152520,157240,186920,155040,161440,159520,170560,160840,147000,152240,150680
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172120,153440,153880,163520,183640,154280,151720,157920,152200,158320,161800,151480
