"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",96400,59560,78400,76160,47680,62040,48800,44280,24040,13360,5920,4040,83480,77400,70960,71600,73560,57040,51480,41800,34840,17200,3920,3520
"B",95920,97360,92840,79920,73760,55320,62760,52960,35520,25880,6160,2520,96960,101360,84200,77280,51400,65560,44720,59080,35080,21480,5280,2520
"C",118360,141240,131920,104280,94160,87600,87960,73280,62480,25760,4920,2480,140720,128200,121640,109200,98680,100400,79000,85080,57840,22600,8160,4640
"D",146000,142760,156640,130120,124800,129560,111960,90920,80800,32880,5560,2560,166200,156040,151520,119760,135200,121480,109880,92480,81920,47600,6760,4240
"E",139640,171800,174080,162520,148640,131600,136760,119560,89280,68360,7440,1720,168920,181160,170880,154120,148200,139480,128720,134040,108560,71800,9840,2640
"F",191160,196280,193920,168680,162840,153280,138840,135480,120960,91120,12760,4120,200480,179480,196800,163680,131800,156640,125040,143840,124680,80360,8320,3600
"G",198840,205720,213040,194400,180480,170800,167800,135120,124320,91760,10120,5360,213040,203160,201840,190720,195720,177640,133360,162400,138160,106800,9840,5080
"H",205640,196720,205840,192080,185560,177800,178920,121960,145360,111840,7240,3920,203200,198000,213840,198160,170000,170440,179280,170720,155840,103560,14440,3360
"I",189280,190560,200240,202720,188200,185920,168320,184880,173120,149680,14880,3640,194320,201240,198520,206240,200520,187840,180800,147960,176360,153680,16600,1920
"J",202400,185200,212720,189600,185760,177840,167360,169040,149400,158520,24520,2160,190160,193920,194720,190000,200600,188600,176920,162600,165440,146640,21160,3680
"K",173160,190320,171920,196120,178200,171000,152880,181640,177400,153160,18960,2440,180560,172120,158720,189040,168320,164920,183640,170560,157240,151880,20440,4760
"L",175720,194800,189000,161440,165920,169760,164520,155720,173720,141640,23680,5560,189240,184040,200200,177120,181320,166600,172880,170920,154280,136200,18960,3800
"M",83800,89520,128760,155400,167440,195280,196800,206160,205480,193720,185600,177800,3400,19040,149840,156240,160280,168960,176320,175880,175400,160920,185960,176120
"N",82400,100560,132120,140920,175480,201600,222320,198200,188880,183120,179800,191720,3320,20920,140480,172680,169680,167800,177880,169360,186360,182960,192760,184240
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179360,179440,167600,167120,188480,189920,187160,203440,179160,187080,197000,183920
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195200,193560,183480,182760,188240,180600,198680,197600,176080,199360,187240,186720
