"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",54240,52120,52200,57920,49960,39800,40200,8280,7120,2640,3480,2880,62880,42320,66680,37080,36480,43800,32840,9960,4760,2000,2200,3040
"B",61160,35440,59520,54440,24960,33480,25880,22400,7200,1760,2160,1840,58320,54680,50920,56160,44680,35360,30960,21120,6720,2680,3120,1440
"C",66440,66160,56440,59520,32280,24960,46400,24200,8080,1240,2360,2680,66160,61680,49280,15680,39360,28920,20720,36800,8240,4040,2720,3240
"D",71200,51040,63920,46160,19880,54640,50360,24200,10000,2400,2000,2040,64840,60280,46960,60760,55960,52240,46000,28960,7760,4040,1560,2040
"E",55400,79360,70120,67920,68920,32240,64480,30200,9320,2840,2680,680,70720,58480,71280,66280,66480,56760,52120,33240,10840,3760,3600,1720
"F",97880,71360,104120,66640,63080,76200,50000,38480,15200,2080,2120,3040,98680,85000,89640,69600,51320,65200,67440,53200,15160,2040,1680,3200
"G",129200,124720,113840,100960,116240,112040,102640,58280,9120,3320,2160,2160,120720,127440,124240,107360,99240,114880,52800,70040,18760,2320,2520,2920
"H",144000,183960,162240,143280,152200,169320,146720,62600,51600,3560,1840,1960,147480,161040,162960,170160,149560,136920,154760,148080,50160,1840,1160,2600
"I",226160,245000,199840,234400,306560,244480,187520,190680,109040,4480,1960,1360,245160,295480,217520,330800,281680,285720,302400,217720,111640,4400,1920,1440
"J",283840,320600,310120,177160,250280,402720,288480,260880,94200,6400,1760,1200,333640,271560,273720,330280,309600,344320,287520,265240,164920,4960,2520,2640
"K",267040,336280,309400,345960,286720,276960,277240,228560,132360,7080,2920,1640,326680,264040,330960,360360,306480,267360,213400,271680,142040,8200,2760,2920
"L",213360,252080,328000,285160,281040,230640,244640,229800,134120,13000,2880,2640,296480,411160,331520,293720,293440,292440,274680,283520,152720,3960,2600,3680
"M",60360,54720,56840,66080,55680,80840,131040,171760,269480,334920,326280,298680,1080,2920,7760,115960,207240,235880,329760,255680,341200,285640,308280,316640
"N",59160,53600,52720,43920,61720,100200,127480,181200,318560,302040,312160,283080,1520,3200,10320,139840,211480,346720,320760,217440,326720,305160,240840,213480
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286720,307440,259080,341760,297800,325240,297800,330000,236760,346120,261200,248040
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298200,352920,261120,364040,303920,301200,300480,287480,324280,364520,319240,266280
