"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",87280,123480,120840,93720,94680,84840,79880,41520,52080,2480,2160,2800,125080,50600,131040,87000,110760,90680,108760,15640,5440,1840,1760,2320
"B",134160,117720,119200,131080,57640,111400,79480,107160,94400,2520,2160,1360,122480,127440,102080,87720,128600,94640,97960,111240,102560,2040,2400,1520
"C",137280,131680,126840,137720,112840,93320,120440,94600,111680,1120,1360,1520,131520,99440,91920,88680,112480,109120,91320,117560,121720,2720,1880,2320
"D",139200,96120,139200,116440,74440,133280,117800,118480,124480,2880,1080,2320,123280,129720,128760,125480,130320,97360,132360,100640,99160,3080,1480,2400
"E",89640,138880,144160,123200,118960,122960,108160,81520,115120,2440,2200,480,127040,143160,125880,124520,117040,118720,123320,127560,90680,2280,2320,1360
"F",151000,74880,137920,133880,136880,138160,126360,95920,104960,3480,1640,2160,132480,126360,130200,136600,127720,133720,129200,116240,100880,2040,1440,2360
"G",145240,144320,138280,137320,124040,129720,134880,115400,23680,3760,1920,2360,151200,143200,138040,145440,159960,136640,96560,138520,130880,2080,2000,2520
"H",144440,133120,140960,137440,140600,111680,132320,51880,128640,2640,1320,2240,96400,113680,149000,147280,133760,116160,145520,146040,100480,6280,960,2160
"I",149320,138160,149640,134400,144120,112840,140360,140960,163480,6760,2160,1600,155080,162880,135840,144600,168240,130480,142800,68640,144400,2920,1680,1120
"J",157280,166400,149400,140840,134520,164000,109920,132520,66440,2600,1360,1080,153400,47680,157840,140160,143440,135560,155840,115000,48200,5480,2440,2120
"K",115480,146960,144080,132760,144880,139280,127360,148880,134080,2480,2800,880,154160,58480,130160,109960,144680,120680,39560,146840,136680,2960,2160,2680
"L",136880,131960,136880,106440,131760,150040,141360,132840,125800,106080,2280,1960,151640,132720,137320,155520,144160,118880,141600,137160,121800,1760,1920,2440
"M",130360,129680,121440,135120,148000,131480,148480,130560,123480,149000,144280,166600,1320,2280,97720,110000,144680,138000,138040,127920,133720,146360,139920,139320
"N",123920,135920,125240,114120,158840,130000,132320,140600,148960,156880,147600,137720,1400,2240,93680,118360,138000,143480,147160,133160,144880,162440,146080,138200
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128320,135760,135440,135160,141240,139720,144360,158120,122120,109280,151320,146840
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162480,142440,143720,129280,158440,141480,152520,155040,153760,182040,145880,144600
