"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",83800,97640,102120,97800,94760,89960,101040,80600,100280,89200,79440,86840,104080,95840,103560,89720,101240,94760,96320,92280,91960,88840,82360,91000
"B",104640,102640,104200,105960,88440,103920,102680,101960,103440,84280,83440,95200,98640,102640,100800,102360,105880,105760,96160,97040,98520,94200,94440,82960
"C",109720,102200,106360,104400,105200,111200,109560,106120,113080,96840,93320,95920,107360,99000,104560,102680,103280,113280,100600,103120,105920,97960,90040,95520
"D",108880,109960,115600,92040,100320,110400,117960,99640,109680,97960,89720,96120,110440,115240,107760,110040,122960,100720,98880,100080,104000,100280,80240,97360
"E",89280,111040,111480,111760,101480,97440,107240,104640,102000,101920,87280,95040,107440,92440,107600,108680,111240,104440,118080,112680,94440,94080,85240,97400
"F",108480,97200,108280,103680,104280,100760,106840,108840,97520,95040,84200,101160,115040,104520,106360,102800,103920,108280,100240,112240,102080,88160,91520,100920
"G",118240,102600,99480,111800,110320,112760,107480,104760,102400,96400,87480,92600,113280,114920,120080,109000,112080,114600,92320,97640,97960,98560,87680,88520
"H",66840,115960,108640,111360,110120,113640,116560,102280,107640,88960,90040,99480,109240,108760,114000,113760,92400,110360,110040,103720,99560,90920,90200,73720
"I",146360,138040,138160,150760,131600,137760,132600,146880,142600,113880,120400,104160,144320,95520,143640,155040,147120,144360,132080,126760,136360,126480,107640,83360
"J",122120,102960,131280,120200,116960,140320,97280,126800,77560,120400,79720,70640,117720,102760,131880,123920,131680,120480,130400,95880,121680,122560,101880,98600
"K",93960,106280,110320,122360,116840,120680,118040,108800,110640,109640,107080,49320,106440,88960,89560,88880,105840,111360,96320,102720,112520,112720,102040,79400
"L",122600,111920,117960,74000,110360,117640,115520,84600,102040,102680,108280,75080,117560,111760,118400,1e+05,101560,96760,106360,110920,111200,95680,96680,66600
"M",95560,107360,104280,108600,94160,102000,114600,116680,149480,128560,113760,121480,51520,106120,109160,111320,110320,125600,112520,101240,101560,104040,113040,106280
"N",93040,108120,106680,106080,99680,110440,100560,111240,134400,118000,112800,103320,84960,108360,112760,114640,104760,119760,104400,106000,114040,114920,107840,116120
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103840,101560,99760,102640,121560,103520,114640,102920,102400,119280,120280,112880
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119240,117880,114800,106600,115920,109160,123640,110800,115480,113880,118840,110920
