"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",46120,80240,63360,83520,55360,18960,16360,2640,4360,3960,3280,3120,80240,17840,87640,65280,54120,32640,12400,1640,2680,2960,2360,3240
"B",85160,24120,93920,117120,20040,14920,4880,6400,4720,2320,2800,1960,95080,71760,76920,87400,63520,20040,10000,6400,5120,3640,3080,1560
"C",108840,104000,89680,121040,32960,17120,26480,8600,5920,1560,2480,2000,93440,101240,88040,14800,60840,34040,4880,9040,6640,4720,3240,3160
"D",123920,84400,148080,64000,15400,59880,32120,10560,7520,4600,2400,2240,125120,118240,102480,112360,89000,48840,21960,10720,4440,6640,1720,3280
"E",71720,122680,139480,136240,101240,20560,54400,10480,11200,6640,4200,560,105600,46960,103720,91520,101840,55800,47520,23240,14600,7120,4440,1440
"F",159680,115280,198600,104520,140440,125480,49400,29240,31960,16480,6080,2960,153600,103360,166760,133160,115960,149880,53040,42560,28240,21320,2840,3040
"G",198840,244360,223680,192840,191520,193880,147960,74800,29920,72280,13760,3160,203480,234880,263720,188440,146680,214560,52000,129480,94880,71520,21360,3000
"H",304800,268680,288560,244040,262960,256640,238880,128760,174040,129440,34280,2000,228920,329840,319000,247080,264040,208080,212360,189560,159800,103400,34080,2800
"I",308640,285720,258280,278920,286080,288520,246720,155400,160520,162480,42760,2080,253840,331800,289120,279400,262600,284200,220840,166960,153920,119120,33320,1760
"J",279600,294800,347960,367320,262240,224520,255600,146720,166040,109360,35240,1280,249360,231840,264480,299680,288680,222080,226720,216760,126280,121760,42760,2880
"K",270520,335280,262080,322160,237600,265280,207800,156960,136440,106600,47280,1320,256440,233400,324080,301320,311960,218160,199280,185800,130360,118200,51080,3200
"L",232880,292440,248520,303400,267800,240320,194000,167640,118600,104160,37600,3040,270800,275640,314360,243080,307880,213200,192800,164120,121520,87040,43080,4080
"M",63920,87240,81240,98320,39120,129040,210800,319480,343360,290400,235000,224160,1440,45400,111920,118600,164440,165520,290600,210680,288120,210240,268640,252720
"N",67120,79520,72400,59440,73120,173080,248960,284000,243520,275400,221240,229600,1920,44320,98320,131640,155880,238560,246920,265680,232560,307080,244400,214200
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247560,231280,257720,349920,215600,244000,275440,253360,245800,227880,228720,222240
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340520,207080,331800,266200,315000,221320,241880,225120,266800,269440,281120,208840
