"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",90040,100920,98960,90880,93800,96640,100200,84680,96480,95680,93960,80600,96200,74600,93680,85120,93720,105360,94640,76640,98480,93200,98560,85680
"B",99560,85840,108920,92680,84920,88080,85160,97040,99720,93360,97880,72360,97120,96720,107200,97040,99640,85360,92920,100160,101840,91680,105480,69480
"C",108480,95120,98800,103720,85440,88640,103640,97560,96320,93680,99040,67320,94920,104560,99280,84200,94080,87560,76680,103840,100080,103480,91440,84760
"D",102800,90680,90680,92360,85240,112720,89880,80520,104840,101040,97880,89120,99720,104040,93800,99360,97640,101360,93200,95120,101200,99880,95960,90840
"E",78920,107400,106560,97720,88560,90000,106120,99360,95560,102080,96200,67920,98000,89560,92560,99240,97800,99040,92800,95840,101520,102280,101240,75640
"F",99480,95400,96880,95800,91800,102200,92560,102880,104240,88760,87760,85800,96320,93880,105480,102960,87840,104120,93000,99440,92560,99680,92160,82680
"G",92560,89680,87440,87880,91480,100680,108800,92160,73040,96360,94360,93880,98160,97680,91520,106200,95560,95080,80880,105600,94520,91160,97240,98800
"H",99840,92080,99320,110000,103240,91960,103960,59880,100200,105280,100960,84080,93120,95640,99600,102040,86720,91920,101240,107280,103440,92560,75920,91120
"I",110200,129200,120080,131520,122880,84720,104920,131440,142040,126080,116840,120600,140280,116000,145040,116240,115320,133480,125880,94120,124440,127840,112240,100280
"J",201480,196840,140440,133640,182120,176120,166240,164240,162720,105320,148880,95720,176080,138960,174560,143880,194080,199360,185320,164800,166000,173200,160600,115560
"K",157240,162160,170320,176040,170680,140520,193360,172640,174160,183840,171360,112480,175400,120200,164520,127160,183840,167440,134600,190560,178080,185400,169960,159120
"L",178520,177720,146680,112680,116640,189360,174800,135160,169440,216880,177960,140600,155440,136440,170280,118480,100720,155360,153240,165640,143240,117600,179680,157520
"M",98320,95320,87600,102640,89040,99560,102200,87560,133400,142040,158280,177920,122000,163520,179080,163480,187080,125280,159320,112880,143600,133160,130640,155440
"N",95760,97200,85040,71600,84040,106480,106240,102680,106680,176640,206560,171200,118200,167560,170680,154440,146960,160840,133640,157920,190440,214120,170280,174640
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137960,133600,164640,139320,138600,148840,158600,138760,115520,123680,156120,147720
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166320,172600,175080,183160,148840,161000,164000,181880,179560,192080,174880,175640
