"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",28920,24360,23680,23800,29200,28200,23200,38000,22640,27640,38560,51280,22000,31920,21880,24480,20720,22640,25720,32320,35680,30160,43520,49880
"B",29520,44760,30520,27480,50320,44040,48120,31840,30480,41760,51520,56640,31640,32520,36960,36640,27080,42280,34680,30960,32160,41200,52120,55560
"C",35640,34480,37280,37360,55280,50320,33360,43080,34800,54560,64080,57120,31920,38280,44560,49760,43280,36720,47480,40200,40000,47480,56920,58520
"D",37480,45840,41320,52200,58280,45240,39040,46920,39080,48800,68840,57520,39360,36080,38920,46600,36640,51320,49560,46400,53520,39880,63880,58600
"E",62840,35560,41360,38920,37360,54120,41160,55000,38600,53840,70080,72880,43760,62920,45800,41200,43520,40800,40440,25840,42320,55000,62920,56480
"F",43080,54720,36880,32680,34680,37240,49800,44040,36840,51240,65920,62160,30640,44400,38040,41680,58200,33920,44520,37960,52640,58040,65840,60240
"G",28520,28320,50560,27680,45440,36560,35920,36080,65080,40560,69920,58680,25880,32160,29440,32160,54840,30920,68280,34800,36960,64440,65560,57920
"H",23680,24960,34280,32880,21440,31000,22120,70720,21040,38920,67320,56000,43720,24760,31240,30080,32040,43680,25480,25600,28200,65600,75080,60720
"I",18920,14800,16080,23240,15600,56120,19000,20320,20200,33680,55520,65200,18720,18120,18480,14160,14920,23240,18000,52480,20120,22160,68760,57920
"J",18640,21640,15240,17040,14280,12560,26080,16080,43480,51120,72280,54120,23280,67400,14080,15840,19720,23880,13800,28400,41440,18080,58280,61440
"K",25960,18520,16480,18240,14680,15960,18720,15680,19360,35960,49000,57680,14200,48800,25520,33000,12200,27120,49240,17120,16120,21240,54600,58720
"L",15120,19000,36360,64360,12880,15000,11080,27440,14960,17080,49040,56160,11880,26600,15040,42000,12160,21800,15400,14760,15960,61720,40760,58440
"M",22160,28640,49800,41600,55080,45080,32120,24880,21360,18880,14040,11760,62520,42200,16880,17440,12000,12240,15080,35720,23320,16720,13040,15120
"N",20600,29880,49200,56200,57240,37240,40720,34040,22160,14720,11360,16200,56120,46840,16080,20200,15640,14960,20680,11800,16200,15440,14160,9960
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37520,12880,14200,25640,18040,21760,17800,31360,43680,26640,12560,13080
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15480,12080,9360,19520,32720,15080,12800,13120,12680,12560,13560,14680
