"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",39280,45360,41640,41040,34880,27480,6880,1000,2160,1880,2200,1880,49320,27400,52960,39000,33400,19360,7000,800,1720,1400,1640,2320
"B",47560,55840,60240,60080,35440,25480,5560,2640,2000,880,1520,1120,34760,44080,51560,50400,43800,35160,11080,1920,2200,2480,2360,1200
"C",65160,73440,64760,59640,45480,33720,19000,2720,2920,1480,1360,1520,65320,65080,63080,56000,58360,34360,6160,2800,2480,2360,2000,2600
"D",73120,62640,78360,65160,38200,38200,32120,4960,2040,1400,1200,1320,69400,75040,78320,77040,59480,37520,18480,4080,1320,2560,1280,1600
"E",83640,108600,98080,93720,58680,30400,31840,5600,1720,1760,1920,600,94960,129680,85600,92840,41600,35520,32840,10360,2360,1840,2480,1080
"F",172920,162480,179720,131360,140440,91800,33720,2600,2000,1640,1720,2120,136520,111280,157080,140840,134400,111760,40040,6720,1520,1360,1520,2080
"G",193520,190240,198280,180760,190000,163640,131560,6800,760,1960,1440,2000,191640,181120,186680,185600,191080,177960,97040,17800,3360,1240,1480,1920
"H",176480,179760,189840,180160,183400,168480,97120,25040,2320,1480,1480,1240,169160,194920,214080,213000,185560,148920,120120,11720,3080,560,720,1680
"I",182080,202840,182080,2840,173000,133440,103000,8320,1800,1720,1640,1240,185040,190800,183440,180720,180880,163000,168960,11880,2080,1720,1040,880
"J",199200,190720,191200,191480,182520,181640,113840,36240,1720,1080,1160,1160,201640,178400,188040,193840,197280,176960,109640,16360,3440,1640,1840,1720
"K",182200,189280,194200,176800,183040,171200,120800,29760,2160,760,1880,800,191200,194040,196440,177680,167600,140360,40600,8240,2040,1480,2400,2080
"L",185280,194640,207480,198360,173640,171360,118760,4640,2280,2800,2200,1760,191680,187560,177440,202680,172880,156280,32800,6640,2120,1520,1520,2680
"M",39240,49160,56720,74880,82320,149480,184680,197280,179560,185240,183040,186240,840,1760,1520,2000,9040,132400,178520,171320,186120,188280,182080,188200
"N",38520,47000,53160,65720,111000,163120,195600,192400,197280,183480,181480,177760,1160,2280,2720,2320,15560,145520,135720,202080,177360,182280,186600,184880
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162720,186400,205920,197920,178240,195240,188040,2e+05,187400,199280,179400,188200
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183400,177080,205920,155320,196680,178320,188640,184800,186040,181600,191360,181200
