"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",21920,36280,43360,31600,2440,1280,3440,880,1920,1840,1840,1880,44960,14160,39840,12440,2560,2120,1920,5920,1760,1440,1320,1880
"B",57320,30080,61840,41240,1720,680,1080,2160,2000,720,1560,1360,59520,42240,50640,33960,2880,600,2000,2160,2200,2480,2120,1240
"C",73320,60800,68760,59240,2280,520,2880,1600,3000,1360,1440,1400,79560,66960,59560,13600,6200,1720,920,2360,3440,3040,1880,2240
"D",81000,69440,73480,82440,2840,4440,4280,1840,4000,2440,1600,1400,71800,100200,71200,71240,10360,3120,2240,3400,1520,3240,1400,1760
"E",117000,114920,112600,79720,53560,11720,11720,6480,7440,9120,5240,280,108360,107320,107520,111440,30600,8600,11520,9760,8800,9120,7320,1400
"F",154120,141520,141960,144280,59080,37880,25160,19840,24960,21520,18720,3080,145560,151400,153280,128400,63080,49320,29880,26240,20560,21800,11880,2800
"G",173680,167080,183520,177720,95760,77440,54760,42760,20560,46440,28240,7680,255000,163880,161440,226960,125960,79800,27480,51280,46680,30840,27280,6920
"H",218480,154960,214840,244520,125120,89080,69400,24680,61360,52240,37280,8800,191200,221720,206720,209320,115920,96280,84360,61080,66640,31560,17400,3160
"I",206560,224040,263680,264440,164520,73640,71160,68360,66560,51640,32800,16320,165000,203720,185760,159840,151600,94440,80640,45560,72040,48640,33600,9160
"J",176600,235760,224600,207320,135320,124200,69440,61960,64280,33400,30240,3240,218560,161200,222240,190200,149640,107680,84200,66960,64520,40600,34320,18560
"K",215120,246120,226000,201080,128080,73680,78760,74800,69400,31960,33200,6920,193800,162480,242600,236160,155320,92160,58480,76240,62080,43160,34680,19520
"L",211360,201360,244120,173720,145800,99640,86840,62400,70640,48760,33600,15960,219600,169400,161560,174720,132760,99080,73560,77080,50440,19040,34640,18160
"M",39920,56320,59720,86560,108680,173360,167560,216200,184440,226120,235560,170680,10560,33400,37960,54960,69240,85680,103760,135440,229280,155000,147320,171280
"N",33920,56200,52880,70320,126240,149400,163520,209480,216240,183280,229720,192440,5680,37800,44160,70880,66400,78160,75600,131720,242080,173920,220520,223520
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208960,218280,169600,219440,194640,206400,219560,218840,205080,210160,219920,224720
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187520,178720,237440,256240,176760,227600,181320,256920,214440,221440,223600,260480
